# source: TM-100991 pdf p.70, Figure B6
# quantity: 5-DOF small-perturbation linear model at trim condition 3 (descent 80 kt) -- state-space matrices A, b
# model: 5-DOF small-perturbation linear model, trim condition 3 (descent 80 kt)
# heat_sink: off  [pdf p.67: the heat-sink model is in the 3- and 6-DOF models]
# states: NG,NP,P3,P41,P45   ordering: printed [pdf p.27]
# input: Wf, fuel flow, lbm/sec  (Table B.1 quotes trim fuel flow in lbm/hr)
# form: xdot = A x + b Wf
# columns:
#   matrix -- which matrix the value belongs to: A, b
#   row    -- state whose derivative this row is, one of the states above
#   col    -- state being perturbed; empty for the column vectors b
#   value  -- the element itself, in the report's printed 0.NNNNE+N form
# units: A(i,j) = d(xi_dot)/d(xj); b(i) = d(xi_dot)/d(Wf); d(i) = xi per (lbm/sec)
# method: transcribed -- printed numbers read from the page image, each element at
#   least twice from independent crops. Not digitized; these are not plot reads,
#   so they carry no read error, only the report's 4-significant-figure rounding.
# values: written exactly as the report prints them, in 0.NNNNE+N form
# points: 30
# transcribed: 2026-09-11, from docs/notes/inventory-appendix-b.md
matrix,row,col,value
A,NG,NG,-0.3696E+1
A,NG,NP,0.0000E+0
A,NG,P3,-0.5959E+3
A,NG,P41,0.9809E+3
A,NG,P45,-0.1034E+4
A,NP,NG,0.3555E-1
A,NP,NP,-0.3567E+0
A,NP,P3,-0.1940E+2
A,NP,P41,0.1774E+2
A,NP,P45,0.1690E+3
A,P3,NG,0.7624E+0
A,P3,NP,0.0000E+0
A,P3,P3,-0.3989E+3
A,P3,P41,0.3783E+3
A,P3,P45,0.0000E+0
A,P41,NG,0.0000E+0
A,P41,NP,0.0000E+0
A,P41,P3,0.3803E+4
A,P41,P41,-0.4179E+4
A,P41,P45,0.0000E+0
A,P45,NG,0.6997E+0
A,P45,NP,0.0000E+0
A,P45,P3,-0.2619E+3
A,P45,P41,0.1000E+4
A,P45,P45,-0.4431E+4
b,NG,,0.8525E+5
b,NP,,0.3436E+4
b,P3,,0.0000E+0
b,P41,,0.1876E+6
b,P45,,0.4496E+5
