# source: TM-100991 pdf p.74, Figure B10
# quantity: 6-DOF small-perturbation linear model at trim condition 2 (level 80 kt) -- state-space matrices A, b, d
# model: 6-DOF small-perturbation linear model, trim condition 2 (level 80 kt)
# heat_sink: on  [pdf p.67: the heat-sink model is in the 3- and 6-DOF models]
# states: NG,NP,P3,P41,P45,T41   ordering: printed [pdf p.32]
# input: Wf, fuel flow, lbm/sec  (Table B.1 quotes trim fuel flow in lbm/hr)
# form: zdot = A z + b Wf ; x = C z + d Wf, with C = [I] printed literally
# columns:
#   matrix -- which matrix the value belongs to: A, b or d
#   row    -- state whose derivative this row is, one of the states above
#   col    -- state being perturbed; empty for the column vectors b and d
#   value  -- the element itself, in the report's printed 0.NNNNE+N form
# units: A(i,j) = d(xi_dot)/d(xj); b(i) = d(xi_dot)/d(Wf); d(i) = xi per (lbm/sec)
# method: transcribed -- printed numbers read from the page image, each element at
#   least twice from independent crops. Not digitized; these are not plot reads,
#   so they carry no read error, only the report's 4-significant-figure rounding.
# values: written exactly as the report prints them, in 0.NNNNE+N form
# points: 48
# transcribed: 2026-09-11, from docs/notes/inventory-appendix-b.md
matrix,row,col,value
A,NG,NG,-0.3659E+1
A,NG,NP,0.0000E+0
A,NG,P3,-0.1185E+3
A,NG,P41,0.6127E+3
A,NG,P45,-0.1548E+4
A,NG,T41,0.8968E+1
A,NP,NG,0.1283E-1
A,NP,NP,-0.4461E+0
A,NP,P3,0.0000E+0
A,NP,P41,-0.3099E+1
A,NP,P45,0.1825E+3
A,NP,T41,0.5212E+0
A,P3,NG,0.6340E+0
A,P3,NP,0.0000E+0
A,P3,P3,-0.4090E+3
A,P3,P41,0.3899E+3
A,P3,P45,0.0000E+0
A,P3,T41,0.0000E+0
A,P41,NG,0.0000E+0
A,P41,NP,0.0000E+0
A,P41,P3,0.4909E+4
A,P41,P41,-0.5287E+4
A,P41,P45,0.0000E+0
A,P41,T41,0.1868E+2
A,P45,NG,0.8461E+0
A,P45,NP,0.0000E+0
A,P45,P3,-0.4315E+1
A,P45,P41,0.7010E+3
A,P45,P45,-0.4038E+4
A,P45,T41,0.4501E+1
A,T41,NG,-0.2279E+2
A,T41,NP,0.0000E+0
A,T41,P3,0.1889E+6
A,T41,P41,-0.2017E+6
A,T41,P45,0.0000E+0
A,T41,T41,0.6630E+3
b,NG,,0.5425E+5
b,NP,,0.3153E+4
b,P3,,0.0000E+0
b,P41,,0.1260E+6
b,P45,,0.2722E+5
b,T41,,0.4473E+7
d,NG,,0.0000E+0
d,NP,,0.0000E+0
d,P3,,0.0000E+0
d,P41,,0.0000E+0
d,P45,,0.0000E+0
d,T41,,0.6048E+4
