# source: TM-100991 pdf p.56, Figure A1 -- DERIVED from the raw extraction
# quantity: f1 -- compressor corrected mass flow, WA2c = f1(Ps3/P2, NGc), Eq. 7
# method: derived -- the 7 printed markers of each speed line, re-expressed on a
#         common beta grid. NO PIXEL IS RE-READ: this is a pure function of
#         f1_compressor_mass_flow.csv and nothing else.
#
# BETA is the fraction of a speed line's own pressure-ratio span:
#     beta = (Ps3/P2 - 0.9907) / (Ps3/P2 at surge - 0.9907)
# so beta = 0 at the choked left end of every line and 1 at its surge point, and one
# beta names corresponding points on lines whose spans differ by a factor of six.
#
# NOT the six dotted construction lines Figure A1 prints, although those are beta
# lines and are Ballin's own. Their marker positions carry digitizing noise: as a
# fraction of each line's span the k=1 markers run 0.785 0.817 0.831 0.832 0.814
# 0.811 0.855 0.868 0.882 0.891 0.897 -- non-monotone, rms 2nd difference 0.0216 --
# while the spans themselves are smooth. Using the markers as the correspondence
# propagates that jitter into every interpolated value. Measured against them:
# Table B.1 rms 0.2471 -> 0.2439 %, worst Table 1 NG mode 8.18 -> 7.56 %.
#
# GRID: 8 values below beta = 0.7 and 48 above,
# 56 per line. The knee sits at beta 0.785-0.897 on the eleven lines, so
# the split is below every one and the whole unchoked run gets the fine spacing; the
# choked run is flat to 0.15 % and needs nothing.
#
# COLUMNS:
#   ngc_pct         corrected gas generator speed NGc of the speed line, percent
#   beta            position along the line, nondimensional: 0 at the choked end,
#                   1 at surge. The interpolation coordinate.
#   ps3_p2          compressor static pressure ratio Ps3/P2, nondimensional
#   wa2c_lbm_per_s  station 2 corrected mass flow WA2c, lbm/sec -- the value of f1
#   symbol          the plot symbol of that speed line in Figure A1, 1..11
#
# Monotonicity is applied to the seven markers BEFORE the fit, not after: two of the
# 66 digitized segments rise by 4e-4 and 1.7e-3 lbm/sec (pen width), and a
# shape-preserving fit through them would faithfully preserve the rise.
#
# y comes from a shape-preserving Fritsch-Carlson fit through the seven printed
# markers (scipy PchipInterpolator, in Ps3/P2), so the curve passes through every
# measured point exactly and cannot overshoot at the knee. The stored polyline
# approximates that curve to 3.54e-03 lbm/sec.
#
# USING THIS FILE IS A DEPARTURE FROM REPLICATION -- open question #60. The raw
# seven-point CSV is Ballin's table, and `maps.f1_as_printed()` loads it.
# points: 616 (56 per line x 11 speed lines)
# derived: by tools/digitize_a1.py from the raw CSV; rerunnable, deterministic
ngc_pct,beta,ps3_p2,wa2c_lbm_per_s,symbol
100,0.000000,0.9907,10.10840,11
100,0.087500,2.5242,10.10840,11
100,0.175000,4.0577,10.10840,11
100,0.262500,5.5912,10.10839,11
100,0.350000,7.1247,10.10836,11
100,0.437500,8.6582,10.10833,11
100,0.525000,10.1917,10.10828,11
100,0.612500,11.7252,10.10821,11
100,0.700000,13.2587,10.10812,11
100,0.706383,13.3705,10.10811,11
100,0.712766,13.4824,10.10810,11
100,0.719149,13.5943,10.10810,11
100,0.725532,13.7061,10.10809,11
100,0.731915,13.8180,10.10808,11
100,0.738298,13.9299,10.10807,11
100,0.744681,14.0417,10.10806,11
100,0.751064,14.1536,10.10805,11
100,0.757447,14.2655,10.10805,11
100,0.763830,14.3773,10.10804,11
100,0.770213,14.4892,10.10803,11
100,0.776596,14.6011,10.10802,11
100,0.782979,14.7129,10.10801,11
100,0.789362,14.8248,10.10800,11
100,0.795745,14.9367,10.10799,11
100,0.802128,15.0485,10.10798,11
100,0.808511,15.1604,10.10797,11
100,0.814894,15.2723,10.10796,11
100,0.821277,15.3841,10.10795,11
100,0.827660,15.4960,10.10794,11
100,0.834043,15.6079,10.10793,11
100,0.840426,15.7197,10.10792,11
100,0.846809,15.8316,10.10791,11
100,0.853191,15.9435,10.10790,11
100,0.859574,16.0553,10.10789,11
100,0.865957,16.1672,10.10788,11
100,0.872340,16.2791,10.10786,11
100,0.878723,16.3909,10.10785,11
100,0.885106,16.5028,10.10784,11
100,0.891489,16.6147,10.10783,11
100,0.897872,16.7265,10.10780,11
100,0.904255,16.8384,10.10591,11
100,0.910638,16.9503,10.10148,11
100,0.917021,17.0621,10.09539,11
100,0.923404,17.1740,10.08849,11
100,0.929787,17.2859,10.08093,11
100,0.936170,17.3977,10.07083,11
100,0.942553,17.5096,10.05869,11
100,0.948936,17.6215,10.04525,11
100,0.955319,17.7333,10.03023,11
100,0.961702,17.8452,10.01284,11
100,0.968085,17.9571,9.99306,11
100,0.974468,18.0689,9.97090,11
100,0.980851,18.1808,9.94562,11
100,0.987234,18.2927,9.91382,11
100,0.993617,18.4045,9.86799,11
100,1.000000,18.5164,9.80291,11
98,0.000000,0.9907,9.65798,10
98,0.087500,2.4432,9.65798,10
98,0.175000,3.8956,9.65795,10
98,0.262500,5.3481,9.65789,10
98,0.350000,6.8006,9.65778,10
98,0.437500,8.2531,9.65761,10
98,0.525000,9.7055,9.65736,10
98,0.612500,11.1580,9.65702,10
98,0.700000,12.6105,9.65658,10
98,0.706383,12.7164,9.65654,10
98,0.712766,12.8224,9.65650,10
98,0.719149,12.9283,9.65647,10
98,0.725532,13.0343,9.65643,10
98,0.731915,13.1403,9.65639,10
98,0.738298,13.2462,9.65635,10
98,0.744681,13.3522,9.65631,10
98,0.751064,13.4581,9.65627,10
98,0.757447,13.5641,9.65622,10
98,0.763830,13.6700,9.65618,10
98,0.770213,13.7760,9.65614,10
98,0.776596,13.8819,9.65609,10
98,0.782979,13.9879,9.65605,10
98,0.789362,14.0939,9.65600,10
98,0.795745,14.1998,9.65596,10
98,0.802128,14.3058,9.65591,10
98,0.808511,14.4117,9.65586,10
98,0.814894,14.5177,9.65581,10
98,0.821277,14.6236,9.65576,10
98,0.827660,14.7296,9.65571,10
98,0.834043,14.8355,9.65566,10
98,0.840426,14.9415,9.65561,10
98,0.846809,15.0475,9.65556,10
98,0.853191,15.1534,9.65551,10
98,0.859574,15.2594,9.65545,10
98,0.865957,15.3653,9.65540,10
98,0.872340,15.4713,9.65534,10
98,0.878723,15.5772,9.65529,10
98,0.885106,15.6832,9.65523,10
98,0.891489,15.7891,9.65517,10
98,0.897872,15.8951,9.65241,10
98,0.904255,16.0011,9.64567,10
98,0.910638,16.1070,9.63693,10
98,0.917021,16.2130,9.62818,10
98,0.923404,16.3189,9.62136,10
