# source: TM-100991 pdf p.40, Figure 6
# quantity: GAS GENERATOR SPEED, percent vs FUEL FLOW, lb/hr; series: G.E. STATUS-81 MODEL
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig678.py; glyphs separated by shape
# wf_pph: FUEL FLOW, lb/hr, axis 100.0 to 900.0
# ng_pct: GAS GENERATOR SPEED, percent, axis 65.0 to 105.0
# points: 17
# shear corrected: left frame leans -7.57 px across the plot height, right -13.00 px; top frame +20.77 px across the width, bottom +23.51 px. The page is sheared; see `fit_frames`.
# NOT transcribed. Values carry read error.
wf_pph,ng_pct
157.3688,72.5450
165.4687,75.5123
205.1764,82.0552
235.3272,84.0192
346.1807,87.9777
372.0975,88.9511
412.1624,89.9734
445.2065,90.9610
481.8863,91.9696
523.3842,92.9638
567.5683,93.9591
622.5112,94.9423
683.6499,95.9231
754.3971,97.9606
764.5960,99.4264
831.9185,101.0041
850.2710,101.5189
