# source: TM-100991 pdf p.40, Figure 6
# quantity: GAS GENERATOR SPEED, percent vs FUEL FLOW, lb/hr; series: REAL-TIME MODEL -- Ballin's model, the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig678.py; glyphs separated by shape
# wf_pph: FUEL FLOW, lb/hr, axis 100.0 to 900.0
# ng_pct: GAS GENERATOR SPEED, percent, axis 65.0 to 105.0
# points: 29
# shear corrected: left frame leans -7.57 px across the plot height, right -13.00 px; top frame +20.77 px across the width, bottom +23.51 px. The page is sheared; see `fit_frames`.
# NOT transcribed. Values carry read error.
wf_pph,ng_pct
136.3553,69.9934
142.2438,71.0125
143.8219,72.0392
148.0234,73.0390
152.5494,74.0469
157.2429,75.0627
162.5578,76.0746
167.6477,77.0707
173.3537,78.0815
180.6341,79.0659
184.8909,80.0774
217.6787,82.0558
232.4133,83.0432
249.1806,84.9855
264.9617,85.0063
285.4588,86.0010
310.0444,86.9920
329.9374,87.9718
349.5654,88.9562
378.6076,89.9614
408.2366,90.9643
439.1621,91.9619
471.9007,92.9724
504.4108,93.9654
543.4793,94.9513
642.9245,96.9199
705.5743,97.9408
754.0943,98.9675
806.0200,99.9837
