# source: TM-100991 pdf p.41, Figure 7
# quantity: SHAFT HORSEPOWER (no unit printed) vs FUEL FLOW, lb/hr; series: G.E. STATUS-81 MODEL
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig678.py; glyphs separated by shape
# wf_pph: FUEL FLOW, lb/hr, axis 100.0 to 900.0
# shp: SHAFT HORSEPOWER (no unit printed), axis -200.0 to 2000.0
# points: 14
# shear corrected: left frame leans +19.93 px across the plot height, right +20.48 px; top frame -0.37 px across the width, bottom +2.65 px. The page is sheared; see `fit_frames`.
# NOT transcribed. Values carry read error.
wf_pph,shp
201.4621,107.6232
233.2078,183.4872
285.7368,358.8795
315.5524,462.4014
412.1400,742.7861
444.7087,837.6755
481.5002,941.8844
523.0336,1056.1813
567.3746,1185.0421
622.3489,1339.3149
683.5481,1503.8133
780.1276,1718.6456
806.2932,1766.4797
832.2213,1812.1293
