# source: TM-100991 pdf p.41, Figure 7
# quantity: SHAFT HORSEPOWER (no unit printed) vs FUEL FLOW, lb/hr; series: G.E. UNBALANCED TORQUE MODEL
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig678.py; glyphs separated by shape
# wf_pph: FUEL FLOW, lb/hr, axis 100.0 to 900.0
# shp: SHAFT HORSEPOWER (no unit printed), axis -200.0 to 2000.0
# points: 11
# shear corrected: left frame leans +19.93 px across the plot height, right +20.48 px; top frame -0.37 px across the width, bottom +2.65 px. The page is sheared; see `fit_frames`.
# NOT transcribed. Values carry read error.
wf_pph,shp
196.2496,77.0132
248.2456,203.0104
309.0877,423.3138
489.3437,914.0164
581.5171,1177.0872
659.5120,1391.4595
717.4038,1510.4865
764.8328,1611.7461
800.3193,1693.1220
823.4721,1737.9823
868.4114,1803.6802
