# source: TM-100991 pdf p.41, Figure 7
# quantity: SHAFT HORSEPOWER (no unit printed) vs FUEL FLOW, lb/hr; series: REAL-TIME MODEL -- Ballin's model, the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig678.py; glyphs separated by shape
# wf_pph: FUEL FLOW, lb/hr, axis 100.0 to 900.0
# shp: SHAFT HORSEPOWER (no unit printed), axis -200.0 to 2000.0
# points: 15
# shear corrected: left frame leans +19.93 px across the plot height, right +20.48 px; top frame -0.37 px across the width, bottom +2.65 px. The page is sheared; see `fit_frames`.
# NOT transcribed. Values carry read error.
wf_pph,shp
218.0987,147.6474
249.6642,241.6520
265.0944,292.3113
330.4539,494.6442
348.8675,553.1025
408.1369,716.5526
438.5565,805.0875
471.3656,899.1663
503.9056,995.2367
543.1466,1110.9429
590.5296,1243.4933
642.9049,1381.6037
705.6453,1542.3283
754.6841,1662.2760
806.5382,1789.1042
