# source: TM-100991 pdf p.42, Figure 8
# quantity: STATION 3 STATIC PRESSURE, psia vs GAS GENERATOR SPEED, percent; series: G.E. STATUS-81 MODEL
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig678.py; glyphs separated by shape
# ng_pct: GAS GENERATOR SPEED, percent, axis 65.0 to 105.0
# ps3_psia: STATION 3 STATIC PRESSURE, psia, axis 40.0 to 280.0
# points: 17
# shear corrected: left frame leans +21.04 px across the plot height, right +17.76 px; top frame -1.41 px across the width, bottom +2.41 px. The page is sheared; see `fit_frames`.
# NOT transcribed. Values carry read error.
ng_pct,ps3_psia
80.9855,82.2407
81.9870,87.2178
84.0066,98.9094
85.0035,106.5399
86.9819,131.7044
87.9793,141.8334
88.9811,148.3385
89.9634,159.3179
90.9700,168.0926
91.9595,178.0354
92.9811,187.8206
93.9777,198.2892
94.9899,210.8080
96.0082,223.2646
98.0160,235.1552
99.0144,238.6868
100.0172,240.6516
