# source: TM-100991 pdf p.42, Figure 8
# quantity: STATION 3 STATIC PRESSURE, psia vs GAS GENERATOR SPEED, percent; series: REAL-TIME MODEL -- Ballin's model, the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig678.py; glyphs separated by shape
# ng_pct: GAS GENERATOR SPEED, percent, axis 65.0 to 105.0
# ps3_psia: STATION 3 STATIC PRESSURE, psia, axis 40.0 to 280.0
# points: 27
# shear corrected: left frame leans +21.04 px across the plot height, right +17.76 px; top frame -1.41 px across the width, bottom +2.41 px. The page is sheared; see `fit_frames`.
# NOT transcribed. Values carry read error.
ng_pct,ps3_psia
69.9786,61.8177
70.9867,63.3603
73.0070,67.7807
74.0161,69.8229
75.0232,71.9094
76.0194,74.0169
77.0131,76.0865
78.0031,78.2359
78.9972,80.4504
79.9885,82.8133
80.9971,88.5937
81.9958,94.6089
83.0034,99.9148
84.0172,106.1664
85.0140,113.3286
86.9899,128.8173
87.9836,136.4041
88.9807,142.6326
89.9795,150.7669
90.9760,158.9114
91.9711,167.0471
92.9772,175.5884
94.9837,194.1770
95.9922,205.0195
96.9978,215.7191
98.0079,227.5601
100.0139,244.7985
