# source: TM-100991 pdf p.45, Figure 9, panel PCNG
# quantity: PCNG vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 601.13 (slope -5.50 m px/row), right 2259.79 (slope -7.61), width 1658.66 px against the page-wide 1671. The page is skewed; see `Panel.left_slope`.
# value: PCNG, axis range 80.0 to 100.0, no unit printed on the figure
# points: 664
# x tick check: worst interior major tick off by 0.0154 s
# frame tilt corrected: top +4.49 px, bottom +4.50 px across the panel (+1.36 % of panel height). The page is skewed; see `frame_tilt`.
# dropped: 4 trailing sample(s) at t = 4.86867, 4.87169, 4.87469, 4.87772 s, behind an x-gap of 132x the median sample interval (0.00301 s). The curve ends at t=4.47056 s with value 98.94050; the dropped samples read 90.45, 90.45, 90.48, 90.45. Re-acquired ink past the end of the plotted curve, not data. See open question #48.
# NOT transcribed. Values carry read error.
t_s,value
0.02927,90.75987
0.03229,90.76004
0.03530,90.76020
0.03832,90.76036
0.04133,90.76053
0.04435,90.76069
0.04735,90.79116
0.05037,90.79132
0.05339,90.76118
0.05641,90.76134
0.05942,90.76150
0.06244,90.76167
0.06545,90.76183
0.06847,90.76199
0.12575,90.76509
0.12877,90.76526
0.13178,90.76542
0.13479,90.79589
0.13780,90.79605
0.14083,90.76591
0.14384,90.76607
0.14686,90.76624
0.14987,90.79670
0.15288,90.79687
0.15590,90.79703
0.15891,90.79719
0.16193,90.76705
0.16495,90.76721
0.16796,90.76738
0.17098,90.76754
0.22525,90.77048
0.22827,90.77064
0.23128,90.77080
0.23430,90.77097
0.23731,90.77113
0.24033,90.77129
0.24334,90.77145
0.24636,90.77162
0.24937,90.77178
0.25239,90.74164
0.25540,90.77211
0.25842,90.77227
0.26142,90.80274
0.26445,90.74229
0.26747,90.74245
0.27048,90.77292
0.27349,90.77309
0.32476,90.74555
0.32777,90.74571
0.33079,90.74588
0.33380,90.74604
0.33682,90.74620
0.33983,90.74637
0.34285,90.74653
0.34586,90.74669
0.34887,90.77716
0.35189,90.74702
0.35491,90.74718
0.35792,90.74735
0.36094,90.74751
0.36395,90.74767
0.36697,90.74784
0.36997,90.77831
0.37299,90.77847
0.43330,90.75142
0.43631,90.75159
0.43933,90.75175
0.44234,90.75191
0.44536,90.75208
0.44837,90.75224
0.45138,90.78271
0.45440,90.78287
0.45742,90.75273
0.46043,90.75289
0.46345,90.75305
0.46646,90.75322
0.46948,90.75338
0.47249,90.75354
0.47551,90.75371
0.54171,91.21189
0.54471,91.27267
0.54770,91.36375
0.55068,91.48514
0.55367,91.57623
0.55665,91.69762
0.56261,91.94039
0.56561,92.00117
0.56859,92.12256
0.57158,92.21364
0.57457,92.27442
0.57755,92.39581
0.63749,93.67195
0.64048,93.76303
0.64349,93.76319
0.64650,93.79366
0.64949,93.88474
0.65248,93.94552
0.65550,93.94568
0.65848,94.06707
0.66148,94.09754
0.66449,94.12801
0.66749,94.18879
0.67049,94.21926
0.67350,94.24973
0.67650,94.31050
0.67951,94.31067
0.73954,95.25343
0.74254,95.28390
0.74555,95.31437
0.74855,95.37515
0.75155,95.40562
0.75457,95.40578
0.75757,95.46656
0.76057,95.49703
0.76358,95.52749
0.76657,95.58827
0.76958,95.61874
0.77259,95.64921
0.77558,95.70999
0.77860,95.71015
0.84175,96.25909
0.84476,96.28956
0.84775,96.35034
0.85077,96.35050
0.85378,96.35066
0.85678,96.41144
0.85979,96.41160
0.86281,96.41177
0.86581,96.44223
0.86882,96.47270
0.87183,96.47287
0.87482,96.56395
0.87784,96.56411
0.93804,96.87044
0.94106,96.87060
0.94406,96.90107
0.94707,96.93154
0.95008,96.93170
0.95309,96.96217
0.95610,96.96234
0.95911,96.99281
0.96212,96.99297
0.96513,97.02344
0.96814,97.02360
0.97116,97.02377
0.97417,97.02393
0.97719,97.02409
0.98019,97.05456
1.04042,97.30027
1.04343,97.30044
1.04645,97.30060
1.04944,97.36138
1.05246,97.36154
1.05547,97.36170
1.05849,97.36187
1.06150,97.36203
1.06452,97.36219
1.06753,97.36235
1.07055,97.36252
1.07356,97.36268
1.07657,97.39315
1.07958,97.39331
1.13982,97.57841
1.14283,97.57858
1.14585,97.57874
1.14886,97.57890
1.15188,97.57907
1.15489,97.57923
1.15790,97.60970
1.16091,97.60986
1.16393,97.61002
1.16694,97.61019
1.16996,97.61035
1.17296,97.64082
1.17598,97.64098
1.17899,97.64115
1.23924,97.79594
1.24225,97.79610
1.24527,97.79626
1.24828,97.79643
1.25130,97.79659
1.25431,97.79675
1.25733,97.79692
1.26034,97.79708
1.26336,97.79724
1.26637,97.79741
1.26938,97.79757
1.27239,97.82804
1.27541,97.82820
1.27842,97.82836
1.33567,97.92238
1.33868,97.92254
1.34170,97.92271
1.34471,97.92287
1.34773,97.92303
1.35075,97.89289
1.35374,97.98397
1.35675,97.98414
1.35977,97.98430
1.36278,97.98446
1.36580,97.98462
1.36881,97.98479
1.37183,97.98495
1.37484,97.98511
1.37786,97.98528
1.43814,98.01884
1.44115,98.01901
1.44417,98.01917
1.44718,98.01933
1.45020,98.01950
1.45321,98.01966
1.45623,98.01982
1.45924,98.01999
1.46226,98.02015
1.46527,98.02031
1.46829,98.02047
1.47130,98.02064
1.47432,98.02080
1.47733,98.02096
1.53459,98.08467
1.53760,98.08484
1.54062,98.08500
1.54363,98.08516
1.54665,98.08533
1.54966,98.08549
1.55268,98.08565
1.55569,98.08582
1.55871,98.08598
1.56172,98.08614
1.56473,98.08630
1.56775,98.08647
1.57076,98.08663
1.57378,98.08679
1.63406,98.12036
1.63708,98.12052
1.64009,98.12069
1.64311,98.09054
1.64613,98.09071
1.64914,98.09087
1.65214,98.15164
1.65516,98.12150
1.65818,98.12166
1.66119,98.12183
1.66420,98.15230
1.66721,98.15246
1.67023,98.15262
1.67324,98.15279
1.67626,98.15295
1.73352,98.21666
1.73653,98.21682
1.73954,98.21699
1.74256,98.21715
1.74557,98.21731
1.74859,98.21747
1.75160,98.21764
1.75462,98.21780
1.75763,98.21796
1.76065,98.21813
1.76366,98.21829
1.76668,98.21845
1.76969,98.21862
1.77271,98.21878
1.77572,98.21894
1.83601,98.22220
1.83903,98.22237
1.84204,98.22253
1.84506,98.22269
1.84807,98.22285
1.85108,98.22302
1.85410,98.22318
1.85711,98.22334
1.86012,98.25381
