# source: TM-100991 pdf p.45, Figure 9, panel PCNG
# quantity: PCNG vs time, GE reference standard model data (+ markers) -- the hardware reference Ballin was himself validating against
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 601.13 (slope -5.50 m px/row), right 2259.79 (slope -7.61), width 1658.66 px against the page-wide 1671. The page is skewed; see `Panel.left_slope`.
# value: PCNG, axis range 80.0 to 100.0, no unit printed on the figure
# points: 45
# x tick check: worst interior major tick off by 0.0154 s
# frame tilt corrected: top +4.49 px, bottom +4.50 px across the panel (+1.36 % of panel height). The page is skewed; see `frame_tilt`.
# sample lattice: pitch 33.22 px = 0.1001 s
# NOT transcribed. Values carry read error.
t_s,value
0.10161,89.57948
0.20150,89.62796
0.30498,89.67941
0.40764,89.59912
0.50831,89.63963
0.60921,91.55443
0.71187,93.37561
0.81444,94.43919
0.91345,94.91497
1.01389,95.23796
1.11401,95.32551
1.21279,95.34942
1.31165,95.40824
1.41171,95.52250
1.50818,95.55766
1.60872,95.62045
1.71007,95.73022
1.80965,95.76591
1.90915,95.85180
2.01034,95.92749
2.11107,95.95362
2.21036,96.02278
2.31218,96.14860
2.41434,96.19998
2.51252,96.34566
2.61237,96.44152
2.71264,96.47917
2.81212,96.53771
2.90828,96.56990
3.00890,96.67314
3.10968,96.67655
3.20613,96.71893
3.30745,96.73617
3.40773,96.75962
3.50669,96.85284
3.60843,96.88115
3.70858,96.89905
3.80913,96.92990
3.90849,96.96229
4.00809,97.01809
4.10933,97.05710
4.20596,97.04717
4.30554,97.08287
4.40497,97.07779
4.50440,97.09362
