# source: TM-100991 pdf p.45, Figure 9, panel PS3
# quantity: PS3 vs time, GE reference standard model data (+ markers) -- the hardware reference Ballin was himself validating against
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (shared axis, 0 to 5.0)
# value: PS3, axis range 100.0 to 300.0, no unit printed on the figure
# points: 45
# x tick check: worst interior major tick off by 0.0308 s
# sample lattice: pitch 33.12 px = 0.0991 s
# NOT transcribed. Values carry read error.
t_s,value
0.12882,157.81499
0.22815,158.39132
0.32837,157.80022
0.43049,157.77512
0.52958,157.62099
0.63121,186.54984
0.73180,203.47107
0.83682,214.60293
0.93357,221.61947
1.03549,224.68054
1.13529,226.68283
1.23252,227.39958
1.33076,228.14515
1.42505,228.85205
1.51920,229.74524
1.62414,230.18990
1.71954,230.42151
1.82158,230.60408
1.92176,231.48380
2.01912,231.77866
2.12623,232.10298
2.22229,232.36793
2.32176,232.69017
2.42519,233.74545
2.52305,234.08276
2.62118,234.73131
2.72176,235.76662
2.82052,235.68627
2.91716,235.68367
3.01721,236.54289
3.11629,236.50837
3.21342,236.92456
3.31397,237.55152
3.41308,237.74967
3.51131,238.03613
3.61124,237.78555
3.71032,237.58813
3.81026,237.96009
3.90879,237.96791
4.00850,238.55354
4.10743,238.60770
4.20574,238.93125
4.30281,238.92024
4.40207,238.15268
4.50033,239.66562
