# source: TM-100991 pdf p.45, Figure 9, panel T45
# quantity: T45 vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 596.64 (slope -4.60 m px/row), right 2251.72 (slope -7.00), width 1655.08 px against the page-wide 1671. The page is skewed; see `Panel.left_slope`.
# value: T45, axis range 1250.0 to 2250.0, no unit printed on the figure
# points: 598
# x tick check: worst interior major tick off by 0.0152 s
# frame tilt corrected: top +5.60 px, bottom +5.20 px across the panel (+1.64 % of panel height). The page is skewed; see `frame_tilt`.
# NOT transcribed. Values carry read error.
t_s,value
0.04053,1556.91340
0.04355,1556.92307
0.04657,1556.93273
0.04959,1556.94240
0.05261,1556.95206
0.05564,1555.44419
0.05866,1555.45386
0.06169,1555.46352
0.06471,1555.47318
0.06772,1557.00039
0.12515,1555.66646
0.12817,1555.67612
0.13119,1555.68578
0.13421,1555.69545
0.13724,1555.70511
0.14026,1555.71478
0.14328,1555.72444
0.14630,1557.25167
0.14931,1558.77891
0.16445,1552.75694
0.16747,1552.76660
0.17049,1554.29384
0.22790,1555.99503
0.23093,1554.48710
0.23395,1554.49676
0.23697,1554.50643
0.23999,1554.51609
0.24301,1554.52575
0.24604,1554.53542
0.24906,1554.54508
0.25208,1554.55474
0.25510,1554.56441
0.25812,1554.57407
0.26115,1554.58373
0.26417,1554.59340
0.26718,1556.12067
0.27020,1556.13034
0.27323,1556.14000
0.32763,1554.79633
0.33065,1554.80599
0.33367,1554.81566
0.33670,1554.82532
0.33972,1554.83498
0.34274,1554.84465
0.34576,1554.85431
0.34878,1554.86397
0.35181,1554.87364
0.35483,1554.88330
0.35785,1554.89297
0.36087,1554.90263
0.36389,1554.91229
0.36692,1554.92196
0.36994,1554.93162
0.37296,1554.94129
0.43340,1555.13457
0.43642,1555.14423
0.43944,1555.15389
0.44247,1555.16356
0.44549,1555.17322
0.44851,1555.18289
0.45153,1555.19255
0.45455,1555.20221
0.45758,1555.21188
0.46060,1555.22154
0.46362,1555.23121
0.46664,1555.24087
0.46966,1555.25054
0.47269,1555.26020
0.47571,1555.26986
0.56134,1969.88745
0.56436,1969.89741
0.56738,1969.90738
0.57040,1969.91734
0.57343,1968.40958
0.57646,1966.90182
0.63704,1936.74611
0.64007,1935.23830
0.64309,1933.73049
0.64612,1932.22268
0.64915,1930.71486
0.65218,1929.20705
0.65521,1927.69923
0.65823,1927.70916
0.66127,1924.68358
0.66429,1924.69351
0.66733,1921.66793
0.67035,1921.67786
0.67338,1918.65227
0.67641,1918.66220
0.67943,1917.15436
0.73696,1893.05842
0.73999,1891.55055
0.74301,1891.56046
0.74604,1890.05258
0.74907,1888.54470
0.75209,1888.55460
0.75511,1888.56451
0.75814,1888.57441
0.76116,1888.58432
0.76419,1885.55864
0.76721,1885.56854
0.77024,1885.57844
0.77327,1882.55275
0.77629,1882.56265
0.77932,1882.57255
0.83981,1870.62801
0.84283,1870.63791
