# source: TM-100991 pdf p.45, Figure 9, panel T45
# quantity: T45 vs time, GE reference standard model data (+ markers) -- the hardware reference Ballin was himself validating against
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 596.64 (slope -4.60 m px/row), right 2251.72 (slope -7.00), width 1655.08 px against the page-wide 1671. The page is skewed; see `Panel.left_slope`.
# value: T45, axis range 1250.0 to 2250.0, no unit printed on the figure
# points: 44
# x tick check: worst interior major tick off by 0.0152 s
# frame tilt corrected: top +5.60 px, bottom +5.20 px across the panel (+1.64 % of panel height). The page is skewed; see `frame_tilt`.
# sample lattice: pitch 33.16 px = 0.1002 s
# NOT transcribed. Values carry read error.
t_s,value
0.10099,1583.51259
0.20140,1583.53522
0.30487,1585.85981
0.40664,1585.25716
0.50640,1585.39429
0.71186,1953.21231
0.81248,1906.47551
0.91216,1895.64189
1.01363,1891.19556
1.11467,1891.26121
1.21289,1887.73280
1.31101,1894.41997
1.41131,1897.06778
1.50938,1902.30220
1.60946,1903.33967
1.70980,1904.83709
1.81116,1904.17280
1.90990,1913.77742
2.01195,1913.66556
2.11173,1914.45921
2.21026,1913.38676
2.31280,1914.60298
2.41358,1912.76555
2.51244,1915.14239
2.61352,1913.85301
2.71375,1915.74136
2.81348,1917.47517
2.91099,1918.64797
3.01093,1923.56452
3.11219,1924.21423
3.20930,1926.40172
3.30988,1930.55279
3.41079,1928.21157
3.50721,1928.80864
3.61000,1933.51834
3.71081,1933.64737
3.81075,1933.26532
3.90880,1934.69870
4.00998,1934.39226
4.11038,1936.48342
4.20755,1940.16289
4.30768,1939.19422
4.40657,1939.15258
4.50230,1939.16299
