# source: TM-100991 pdf p.45, Figure 9, panel TORQ45
# quantity: TORQ45 vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (shared axis, 0 to 5.0)
# value: TORQ45, axis range 100.0 to 500.0, no unit printed on the figure
# points: 646
# x tick check: worst interior major tick off by 0.0554 s
# frame tilt corrected: top +5.03 px, bottom +5.58 px across the panel (+1.60 % of panel height). The page is skewed; see `frame_tilt`.
# NOT transcribed. Values carry read error.
t_s,value
0.04788,172.24246
0.05087,172.24642
0.05386,172.25039
0.05685,172.25435
0.05984,172.25832
0.06284,172.26229
0.11670,172.33367
0.11969,172.33764
0.12268,172.34161
0.12567,172.34557
0.12867,172.34954
0.13166,172.35350
0.13465,172.35747
0.13764,172.36143
0.14063,171.76070
0.14363,171.76467
0.14662,171.76864
0.14961,171.77260
0.15260,171.77657
0.15560,171.17584
0.15859,171.78450
0.16158,172.39316
0.16457,172.39713
0.22142,172.47247
0.22442,172.47644
0.22741,172.48040
0.23040,172.48437
0.23339,171.88366
0.23639,172.49230
0.23938,172.49627
0.24237,172.50023
0.24536,172.50420
0.24835,172.50816
0.25135,172.51213
0.25434,172.51609
0.25733,172.52006
0.26032,172.52403
0.26332,173.73734
0.26631,174.34597
0.32316,173.81662
0.32615,173.82058
0.32914,173.82455
0.33214,173.82851
0.33513,173.83248
0.33812,173.23178
0.34111,173.23575
0.34411,173.84437
0.34710,173.84833
0.35009,173.85230
0.35308,173.85626
0.35607,173.25557
0.35907,173.25954
0.36206,173.26350
0.36505,173.26746
0.42490,173.34676
0.42789,173.35072
0.43088,173.35468
0.43387,173.35865
0.43686,173.36261
0.43986,173.36658
0.44285,173.37054
0.44584,173.37451
0.44883,173.37847
0.45183,173.38244
0.45482,173.38640
0.45781,173.39036
0.46080,173.39433
0.46379,173.39829
0.46679,173.40226
0.63136,296.95843
0.63435,298.17146
0.63734,298.77990
0.64034,300.59753
0.64333,300.60137
0.64632,301.81440
0.64931,303.63203
0.65230,304.24046
0.65530,304.84889
0.65829,306.06191
0.66128,306.67033
0.66427,307.27876
0.66727,308.49177
0.67026,308.49561
0.67325,309.70862
0.73309,327.31799
0.73609,327.92638
0.73908,329.13934
0.74207,329.14315
0.74506,330.35612
0.74806,330.35993
0.75105,331.57288
0.75404,331.57669
0.75703,332.78965
0.76002,332.79346
0.76302,334.00641
0.76601,334.61478
0.76900,335.82773
0.77199,336.43611
0.84381,348.61851
0.84680,349.22686
0.84979,349.23065
0.85278,349.23444
0.85577,350.44734
0.85877,350.45113
0.86176,350.45492
0.86475,351.06326
0.86774,351.06705
0.87074,351.67539
0.93058,359.00562
0.93357,359.61394
0.93656,359.61772
0.93956,359.62150
0.94255,359.62528
0.94554,359.62906
0.94853,360.23738
0.95153,360.84569
0.95452,360.84947
0.95751,360.85325
0.96050,362.06609
0.96349,362.06987
0.96649,362.07365
0.96948,362.07743
0.97247,362.68574
1.02633,366.38084
1.02932,366.98914
1.03232,366.99291
1.03531,366.99668
1.03830,367.00046
1.04129,367.00423
1.04428,367.00800
1.04728,367.01177
1.05027,367.01555
1.05326,367.01932
1.05625,367.62761
1.05925,367.63138
1.06224,368.23966
1.06523,368.24344
1.06822,368.24721
1.12807,371.34514
1.13106,371.34891
1.13405,371.95717
1.13704,371.96094
1.14004,371.96471
1.14303,371.96848
1.14602,371.97224
1.14901,371.97601
1.15200,371.97978
1.15500,372.58804
1.15799,372.59181
1.16098,373.20007
1.16397,373.20384
1.16697,373.20760
1.16996,373.21137
1.17295,373.21514
1.22681,376.90981
1.22980,376.91358
1.23279,376.91734
1.23579,376.92110
1.23878,376.92487
1.24177,376.92863
1.24476,376.93239
1.24776,376.93615
1.25075,377.54439
1.25374,378.15263
1.25673,378.15639
1.25972,378.16015
1.26272,378.16391
1.26571,378.16768
1.26870,378.77591
1.32555,380.66075
1.32855,380.66451
1.33154,381.87718
1.33453,381.88094
1.33752,381.88470
1.34051,381.88846
1.34351,381.89222
1.34650,381.89597
1.34949,382.50419
1.35248,382.50794
1.35548,381.90725
1.35847,381.91100
1.36146,382.51922
1.36445,382.52297
1.42130,385.01212
1.42430,385.01588
1.42729,385.01963
1.43028,385.02339
1.43327,385.02714
1.43627,385.03090
1.43926,385.03465
1.44225,385.64284
1.44524,385.64660
1.44823,385.65035
1.45123,385.65410
1.45422,385.05342
1.45721,385.66161
1.46020,385.66537
1.46320,385.66912
1.52005,388.15813
1.52304,388.16188
1.52603,388.16563
1.52902,388.16938
1.53202,388.17314
1.53501,388.17689
1.53800,388.18064
1.54099,388.78881
1.54399,388.79256
1.54698,388.19189
1.54997,388.19564
1.55296,388.19940
1.55595,388.20315
1.55895,388.20690
1.56194,388.81506
1.62178,390.70328
1.62478,390.70703
1.62777,390.71078
1.63076,390.71453
1.63375,390.71828
1.63674,390.72202
1.63974,390.72577
1.64273,390.72952
1.64572,390.73327
1.64871,390.73702
1.65171,390.74077
1.65470,390.74452
1.65769,390.74827
1.66068,390.75201
1.71753,392.03200
1.72053,392.03575
1.72352,392.03950
1.72651,392.04324
1.72950,392.04699
1.73250,392.05074
1.73549,392.65887
1.73848,392.66261
1.74147,392.66636
1.74446,392.67011
1.74746,392.67385
1.75045,393.28197
1.75344,393.28572
1.75643,392.68509
1.75943,392.68884
1.82226,393.37188
1.82525,394.58435
1.82825,394.58809
1.83124,394.59184
1.83423,394.59558
1.83722,393.99497
1.84022,393.99871
1.84321,394.00246
1.84620,394.00620
1.84919,394.00995
1.85218,394.01369
1.85518,394.01744
1.85817,394.02118
1.92400,395.31226
1.92699,395.31600
1.92998,395.31975
1.93297,395.32349
1.93597,395.32723
1.93896,395.33098
1.94195,395.33472
1.94494,395.33847
1.94794,395.34221
1.95093,395.34595
1.95392,395.34970
1.95691,395.35344
1.95990,395.35718
2.01676,396.03264
2.01975,396.03638
2.02274,396.64445
2.02573,396.64819
2.02873,396.65193
2.03172,396.65567
2.03471,396.65942
2.03770,396.66316
2.04069,396.66690
2.04369,396.67064
2.04668,396.67439
2.04967,396.67813
2.05266,396.68187
2.05566,396.68561
2.05865,396.68935
2.06164,396.69310
2.11550,396.76046
2.11849,396.76420
2.12148,396.76794
2.12448,396.77168
2.12747,396.77543
2.13046,396.77917
2.13345,396.78291
2.13645,397.39095
2.13944,397.39469
2.14243,397.39844
2.14542,396.79788
2.14841,397.40592
2.15141,397.40966
2.15440,397.41340
2.15739,397.41714
2.16038,398.02518
2.21424,397.48823
2.21724,398.09625
2.22023,398.10000
2.22322,398.10374
2.22621,397.50320
2.22920,397.50694
2.23220,397.51068
2.23519,398.11870
2.23818,398.12244
2.24117,398.12618
2.24417,398.12992
2.24716,398.73794
2.25015,398.74168
2.32196,400.03996
2.32496,400.04370
2.32795,400.04744
2.33094,400.65544
2.33393,400.65918
2.34590,400.67413
2.34889,400.67787
2.35189,400.68161
2.35488,400.68534
2.41173,400.75637
2.41472,400.76010
2.41771,400.76384
2.42071,400.76758
2.42370,400.77132
2.42669,400.77506
2.42968,400.77879
2.43268,400.78253
2.43567,401.39051
2.43866,401.39425
2.44165,401.39798
2.44464,401.40172
2.44764,401.40546
2.45063,401.40919
2.45362,401.41293
2.45661,401.41667
2.51346,401.48767
2.51646,401.49141
2.51945,402.09937
2.52244,402.10311
2.52543,402.10684
2.52843,402.11058
2.53142,402.11432
2.53441,402.11805
2.53740,402.12179
2.54039,402.12553
2.54339,402.12926
2.54638,402.13300
2.54937,402.13674
2.55236,402.14047
2.55536,402.14421
2.61520,402.21893
2.61819,402.22267
2.62118,402.22641
2.62418,402.23014
2.62717,402.23388
2.63016,403.44602
2.63315,404.05395
2.63615,404.05769
2.63914,404.06142
2.64213,404.06515
2.64512,404.06889
2.64811,404.07262
2.65111,404.07636
2.65410,404.08009
2.65709,404.08383
2.71095,404.15104
2.71394,404.15478
2.71694,404.15851
2.71993,404.16225
2.72292,404.16598
2.72591,404.16971
2.72890,404.17345
2.73190,404.17718
2.73489,404.18092
2.73788,404.18465
2.74087,404.18838
2.74387,404.19212
2.74686,404.19585
2.74985,404.19959
2.75284,404.20332
2.81269,404.27800
2.81568,404.28174
2.81867,404.28547
2.82166,404.28920
2.82466,404.29294
2.82765,404.29667
2.83064,404.30040
2.83363,404.90830
2.83662,404.91203
2.83962,404.91577
2.84261,404.31534
2.84560,404.31907
2.84859,404.32281
2.85159,404.93070
2.85458,404.93443
2.91143,406.21365
2.91442,406.21738
2.91741,406.22112
2.92041,406.22485
2.92340,406.22858
2.92639,406.23231
2.92938,406.23604
2.93238,406.23978
2.93537,406.24351
2.93836,406.24724
2.94135,406.25097
2.94434,406.25470
2.94734,406.25843
2.95033,406.26217
2.95332,406.26590
3.00419,406.93346
3.00718,406.93720
3.01017,406.94093
3.01317,406.94466
3.01616,406.94839
3.01915,406.95212
3.02214,406.95585
3.02513,406.95958
3.02813,406.96331
3.03112,406.96704
3.03411,406.97077
3.03710,406.97451
3.04010,406.97824
3.04309,406.98197
3.04608,406.98570
3.10293,408.26480
3.10592,408.26853
3.10892,408.87637
3.11191,408.88009
3.11490,408.88382
3.11789,408.88755
3.12089,408.89128
3.12388,408.89501
3.12687,408.89874
3.12986,408.90247
3.13285,408.90620
3.13585,408.30583
3.13884,408.30956
3.14183,408.31329
3.14482,408.31701
3.14782,408.32074
3.20168,408.38787
3.20467,408.39160
3.20766,407.79125
3.21065,407.79498
3.21364,407.79871
3.21664,408.40652
3.21963,408.41025
3.22262,409.01806
3.22561,409.62588
3.22861,409.62960
3.23160,410.23741
3.23459,410.24114
3.23758,410.24487
3.24057,410.24860
3.24357,410.25232
3.24656,410.25605
3.24955,410.25978
3.29743,409.71535
3.30042,410.32314
3.30341,410.32687
3.30640,410.33060
3.30940,410.33433
3.31239,409.73399
3.31538,410.34178
3.31837,410.34551
3.32136,410.34924
3.32436,410.35296
3.32735,410.35669
3.33034,410.36042
3.33333,410.36415
3.33633,410.36787
3.33932,410.37160
3.34231,410.37533
3.34530,410.37905
3.40215,411.05392
