# source: TM-100991 pdf p.45, Figure 9, panel TORQ45
# quantity: TORQ45 vs time, GE reference standard model data (+ markers) -- the hardware reference Ballin was himself validating against
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 593.33 (slope -4.78 m px/row), right 2249.10 (slope -12.36), width 1655.76 px against the page-wide 1671. The page is skewed; see `Panel.left_slope`.
# value: TORQ45, axis range 100.0 to 500.0, no unit printed on the figure
# points: 45
# x tick check: worst interior major tick off by 0.0038 s
# frame tilt corrected: top +5.03 px, bottom +5.58 px across the panel (+1.60 % of panel height). The page is skewed; see `frame_tilt`.
# sample lattice: pitch 33.25 px = 0.1004 s
# NOT transcribed. Values carry read error.
t_s,value
0.10056,183.96600
0.20045,185.10723
0.30495,184.99592
0.40713,185.66153
0.50767,184.93374
0.60969,292.93770
0.71347,331.76297
0.81344,362.66819
0.91282,380.13065
1.01394,387.64968
1.11517,392.47281
1.21347,396.75511
1.31235,398.08318
1.41227,399.04092
1.50976,400.46058
1.61034,400.94446
1.71003,403.89429
1.81102,403.42979
1.91022,406.31379
2.01131,408.32696
2.11221,409.64432
2.20930,411.32818
2.31104,411.28425
2.41371,414.55934
2.51217,418.91403
2.61248,417.69277
2.71289,420.28363
2.81331,421.91770
2.90976,423.99992
3.01046,426.05076
3.11139,424.66608
3.20845,426.59482
3.30900,428.04185
3.41008,427.54560
3.50876,429.83181
3.61050,430.02049
3.71135,428.82194
3.81177,430.82550
3.90934,428.24117
4.00886,430.42148
4.10990,429.91710
4.20603,430.03754
4.30529,430.30284
4.40467,431.52378
4.50429,432.64784
