# source: TM-100991 pdf p.45, Figure 9, panel WFPH
# quantity: WFPH vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 603.98 (slope -0.64 m px/row), right 2263.42 (slope -3.32), width 1659.44 px against the page-wide 1671. The page is skewed; see `Panel.left_slope`.
# value: WFPH, axis range 250.0 to 1000.0, no unit printed on the figure
# points: 731
# x tick check: worst interior major tick off by 0.0106 s
# frame tilt corrected: top +1.58 px, bottom +3.27 px across the panel (+0.74 % of panel height). The page is skewed; see `frame_tilt`.
# NOT transcribed. Values carry read error.
t_s,value
0.03072,404.35196
0.03373,404.35595
0.03675,404.35994
0.03976,403.22263
0.04278,403.22663
0.04579,403.23062
0.04881,404.37590
0.05182,404.37988
0.05483,404.38387
0.05785,404.38786
0.06086,403.25058
0.06388,403.25457
0.06689,404.39983
0.06991,403.26256
0.07292,403.26655
0.07594,403.27054
0.07895,403.27453
0.08196,403.27853
0.08498,404.42376
0.08799,403.28651
0.09101,403.29050
0.09402,403.29449
0.09703,404.43971
0.10005,404.44370
0.10306,404.44769
0.10608,403.31046
0.10909,403.31445
0.11211,404.45966
0.11512,403.32244
0.11814,403.32643
0.12115,402.18922
0.12417,402.19322
0.12718,402.19721
0.13019,402.20121
0.13321,403.34639
0.13622,403.35038
0.13924,402.21319
0.14225,402.21719
0.14527,402.22118
0.14828,402.22518
0.15129,402.22917
0.15431,402.23317
0.15732,403.37832
0.16034,402.24116
0.16335,404.52745
0.16636,404.53144
0.16938,404.53543
0.17239,404.53942
0.17541,402.26113
0.17842,403.40626
0.18144,402.26912
0.18445,402.27312
0.18747,403.41823
0.19048,403.42223
0.19350,402.28510
0.19651,402.28910
0.19952,402.29309
0.20254,402.29709
0.20555,403.44218
0.20857,403.44617
0.21158,403.45016
0.21460,402.31306
0.21761,402.31706
0.22062,402.32105
0.22364,402.32505
0.22665,402.32904
0.22967,402.33304
0.23268,402.33703
0.23570,402.34102
0.23871,402.34502
0.24172,402.34901
0.24474,402.35301
0.24775,402.35700
0.25077,402.36100
0.25378,402.36499
0.25680,402.36898
0.25981,402.37298
0.26283,402.37697
0.26584,402.38097
0.26885,402.38496
0.27187,402.38896
0.27488,402.39295
0.27790,402.39694
0.28091,402.40094
0.28393,402.40493
0.28694,402.40893
0.28995,402.41292
0.29297,403.55791
0.29598,402.42091
0.29900,402.42490
0.30201,402.42889
0.30503,402.43289
0.30804,402.43688
0.31105,402.44088
0.31407,402.44487
0.31708,402.44886
0.32010,402.45286
0.32311,402.45685
0.32613,402.46084
0.32914,402.46484
0.33215,402.46883
0.33517,402.47283
0.33818,402.47682
0.34120,402.48081
0.34421,402.48481
0.34723,402.48880
0.35024,402.49279
0.35326,402.49679
0.35627,402.50078
0.35928,402.50477
0.36230,402.50877
0.36531,402.51276
0.36833,402.51675
0.37134,402.52075
0.37436,402.52474
0.37737,402.52873
0.38038,402.53273
0.38340,402.53672
0.38641,402.54071
0.38943,402.54471
0.39244,402.54870
0.39546,402.55269
0.39847,402.55668
0.40148,402.56068
0.40450,402.56467
0.40751,402.56866
0.41053,402.57266
0.41354,402.57665
0.41656,402.58064
0.41957,402.58463
0.42258,402.58863
0.42560,402.59262
0.42861,402.59661
0.43163,402.60061
0.43464,402.60460
0.43766,402.60859
0.44067,402.61258
0.44369,402.61658
0.44670,402.62057
0.44971,402.62456
0.45273,402.62855
0.45574,402.63255
0.45876,402.63654
0.46177,402.64053
0.46479,402.64453
0.46780,402.64852
0.47081,402.65251
0.47383,402.65650
0.47684,403.80128
0.47986,403.80527
0.48287,403.80926
0.48589,402.67247
0.48890,402.67646
0.49191,402.68046
0.49493,402.68445
0.49794,402.68844
0.50096,402.69243
0.50397,402.69643
0.50698,403.84117
0.51000,403.84516
0.53667,778.03558
0.53968,779.17913
0.54269,779.18196
0.54571,779.18480
0.54872,779.18763
0.55173,779.19046
0.55475,779.19329
0.55776,779.19613
0.56077,779.19896
0.56379,779.20179
0.56680,779.20462
0.56981,779.20746
0.57283,779.21029
0.57584,779.21312
0.57886,779.21595
0.58187,780.35945
0.58488,780.36228
0.58789,780.36511
0.59091,780.36794
0.59392,779.23012
0.59694,779.23295
0.59995,779.23578
0.60296,779.23861
0.60598,779.24145
0.60899,779.24428
0.61200,780.38774
0.61502,780.39057
0.61803,780.39340
0.62104,780.39623
0.62406,780.39905
0.62707,780.40188
0.63009,779.26411
0.63310,779.26694
0.63611,779.26977
0.63913,779.27260
0.64214,780.41603
0.64515,780.41885
0.64817,779.28110
0.65118,779.28393
0.65419,779.28676
0.66323,779.29526
0.66625,779.29809
0.66926,779.30092
0.67227,779.30375
0.67529,779.30659
0.67830,779.30942
0.68132,779.31225
0.68433,779.31508
0.68734,779.31791
0.69035,780.46128
0.69337,779.32358
0.69638,779.32641
0.69940,779.32924
0.70241,779.33207
0.70542,779.33491
0.70844,779.33774
0.71145,779.34057
0.71446,779.34340
0.71748,779.34623
0.72049,779.34906
0.72351,779.35190
0.72652,779.35473
0.72953,779.35756
0.73255,779.36039
0.73556,779.36322
0.73857,779.36605
0.74159,779.36889
0.74460,779.37172
0.74761,779.37455
0.75063,779.37738
0.75364,779.38021
0.75665,779.38304
0.75967,779.38588
0.76268,779.38871
0.76569,779.39154
0.76871,779.39437
0.77172,779.39720
0.77474,779.40003
0.77775,779.40286
0.78076,779.40570
0.78378,779.40853
0.78679,779.41136
0.78980,779.41419
0.79282,779.41702
0.79583,779.41985
0.79884,779.42268
0.80186,779.42551
0.80487,779.42835
0.80788,779.43118
0.81090,779.43401
0.81391,779.43684
0.81692,779.43967
0.81994,779.44250
0.82295,779.44533
0.82597,779.44816
0.82898,779.45099
0.83199,779.45383
0.83501,779.45666
0.83802,779.45949
0.84103,779.46232
0.84405,779.46515
0.84706,779.46798
0.85007,779.47081
0.85309,779.47364
0.85610,778.33613
0.85912,778.33897
0.86213,778.34180
0.86514,779.48497
0.86815,779.48780
0.87117,779.49063
0.87418,779.49346
0.87720,779.49629
0.88021,779.49912
0.88322,779.50195
0.88624,779.50478
0.88925,779.50761
0.89226,779.51044
0.89528,779.51327
0.89829,779.51611
0.90131,778.37865
0.90432,779.52177
0.90733,779.52460
0.91034,779.52743
0.91336,779.53026
0.91637,779.53309
0.91938,779.53592
0.92240,779.53875
0.92541,779.54158
0.92843,779.54441
0.93144,779.54724
0.93445,779.55007
0.93747,778.41265
0.94048,778.41549
0.94349,778.41832
0.94651,779.56139
0.94952,779.56422
0.95253,779.56705
0.95555,779.56989
0.95856,779.57272
0.96158,778.43533
0.96459,778.43816
0.96760,778.44099
0.97062,778.44383
0.97363,778.44666
0.97664,778.44949
0.97966,778.45233
0.98267,778.45516
0.98568,778.45800
0.98870,778.46083
0.99171,778.46366
0.99472,778.46650
0.99774,778.46933
1.00075,778.47216
1.00377,778.47500
1.00678,778.47783
1.00979,778.48066
1.01281,778.48350
1.01582,778.48633
1.01883,778.48917
1.02185,778.49200
1.02486,778.49483
1.02787,778.49767
1.03089,778.50050
1.03390,778.50333
1.03691,778.50617
1.03993,778.50900
1.04294,778.51183
1.04595,778.51467
1.04897,778.51750
1.05198,778.52033
1.05500,778.52317
1.05801,778.52600
1.06102,778.52883
1.06404,778.53167
1.06705,778.53450
1.07006,778.53733
1.07308,778.54017
1.07609,778.54300
1.07910,778.54583
1.08212,778.54866
1.08513,778.55150
1.08814,778.55433
1.09116,778.55716
1.09417,778.56000
1.09718,778.56283
1.10020,778.56566
1.10321,778.56850
1.10623,778.57133
1.10924,778.57416
1.11225,778.57700
1.11527,778.57983
1.11828,778.58266
1.12129,778.58549
1.12431,778.58833
1.12732,778.59116
1.13033,778.59399
1.13335,778.59683
1.13636,778.59966
1.13937,778.60249
1.14239,778.60532
1.14540,778.60816
1.14841,778.61099
1.15143,778.61382
1.15444,778.61666
1.15746,778.61949
1.16047,778.62232
1.16348,778.62515
1.16650,778.62799
1.16951,778.63082
1.17252,778.63365
1.17554,778.63648
1.17855,778.63932
1.18157,777.50218
1.18458,777.50502
1.18759,777.50786
1.19061,777.51069
1.19362,777.51353
1.19663,778.65631
1.19965,777.51920
1.20266,777.52204
1.20567,777.52487
1.20869,777.52771
1.21170,777.53054
1.21471,777.53338
1.21773,777.53622
1.22074,777.53905
1.22376,777.54189
1.22677,777.54472
1.22978,777.54756
1.23280,777.55040
1.23581,776.41333
1.23882,777.55607
1.24184,777.55890
1.24485,777.56174
1.24786,777.56457
1.25088,777.56741
1.25389,777.57025
1.25690,777.57308
1.25992,777.57592
1.26293,776.43888
1.26595,776.44172
1.26896,776.44456
1.27197,777.58726
1.27499,776.45024
1.27800,776.45308
1.28101,776.45592
1.28403,776.45876
1.28704,777.60144
1.29005,776.46443
1.29307,776.46727
1.29608,776.47011
1.29910,776.47295
1.30211,776.47579
1.30512,776.47863
1.30814,776.48147
1.31115,776.48431
1.31416,776.48715
1.31718,776.48998
1.32019,776.49282
1.32320,776.49566
1.32622,775.35870
1.32923,775.36155
1.33224,776.50418
1.33526,776.50702
1.33827,776.50986
1.34129,775.37292
1.34430,775.37576
1.34731,775.37860
1.35033,775.38144
1.35334,775.38428
1.35635,775.38713
1.35937,775.38997
1.36238,776.53256
1.36540,775.39565
1.36841,775.39849
1.37142,775.40134
1.37444,775.40418
1.37745,775.40702
1.38046,775.40986
1.38348,775.41270
1.38649,775.41555
1.38950,775.41839
1.39252,775.42123
1.39553,775.42407
1.39854,775.42691
1.40156,775.42976
1.40457,775.43260
1.40759,775.43544
1.41060,775.43828
1.41361,775.44112
1.41663,775.44396
1.41964,775.44681
1.42265,775.44965
1.42567,775.45249
1.42868,775.45533
1.43169,775.45817
1.43471,775.46101
1.43772,775.46386
1.44073,775.46670
1.44375,775.46954
1.44676,775.47238
1.44977,775.47522
1.45279,775.47806
1.45580,775.48090
1.45882,775.48375
1.46183,775.48659
1.46484,775.48943
1.46786,775.49227
1.47087,775.49511
1.47388,775.49795
1.47690,775.50079
1.47991,775.50364
1.48292,775.50648
1.48594,775.50932
1.48895,775.51216
1.49196,775.51500
1.49498,775.51784
1.49799,774.38109
1.50101,773.24434
1.50402,773.24719
1.50703,774.38962
1.51005,774.39247
1.51306,774.39531
1.51607,774.39816
1.51909,775.54057
1.52210,775.54341
1.52511,775.54625
1.52813,775.54910
1.53114,775.55194
1.53415,775.55478
1.53717,775.55762
1.54018,775.56046
1.54320,773.28421
1.54621,773.28706
1.54923,773.28991
1.55224,774.43229
1.55525,774.43514
1.55826,774.43798
1.56128,774.44082
1.56429,774.44367
1.56731,773.30700
1.57032,773.30985
1.57333,773.31269
1.57635,774.45505
1.57936,774.45789
1.58237,774.46073
1.58539,774.46358
