# source: TM-100991 pdf p.46, Figure 10, panel PCNG
# quantity: PCNG vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 489.38 (slope -1.93 m px/row), right 2144.55 (slope -9.84), width 1655.17 px against the page-wide 1669. The page is skewed; see `Panel.left_slope`.
# value: PCNG, axis range 60.0 to 100.0, no unit printed on the figure
# points: 667
# x tick check: worst interior major tick off by 0.0024 s
# frame tilt corrected: top +12.24 px, bottom +12.71 px across the panel (+3.79 % of panel height). The page is skewed; see `frame_tilt`.
# NOT transcribed. Values carry read error.
t_s,value
0.03253,90.72665
0.03555,90.72755
0.03857,90.72845
0.04159,90.72935
0.04462,90.73025
0.04764,90.73115
0.05066,90.73205
0.05368,90.73295
0.05670,90.73385
0.05973,90.73475
0.06275,90.73565
0.06577,90.73655
0.12923,90.75543
0.13225,90.75633
0.13527,90.75723
0.13830,90.75813
0.14132,90.75903
0.14434,90.75993
0.14736,90.76083
0.15038,90.76173
0.15341,90.76263
0.15643,90.76353
0.15945,90.76443
0.16247,90.76533
0.16549,90.76623
0.23198,90.78601
0.23500,90.78691
0.23802,90.78781
0.24104,90.78871
0.24406,90.78961
0.24709,90.79051
0.25011,90.73065
0.25313,90.73155
0.25615,90.79321
0.25917,90.79410
0.26220,90.79500
0.26522,90.73515
0.26824,90.79680
0.27126,90.79770
0.33170,90.75493
0.33473,90.75583
0.33775,90.75673
0.34077,90.75763
0.34379,90.75853
0.34681,90.75943
0.34984,90.76033
0.35286,90.76123
0.35588,90.76213
0.35890,90.76303
0.36192,90.76393
0.36495,90.76482
0.36797,90.76572
0.37099,90.76662
0.43445,90.78551
0.43747,90.78641
0.44049,90.78731
0.44352,90.72745
0.44654,90.72835
0.44956,90.72925
0.45259,90.73015
0.45561,90.73105
0.45863,90.73195
0.46165,90.73285
0.46467,90.73375
0.46770,90.73465
0.47072,90.73555
0.47374,90.73644
0.53419,90.63293
0.53721,90.63383
0.54024,90.51322
0.54326,90.51412
0.54629,90.39352
0.54931,90.39442
0.55234,90.33457
0.55537,90.27472
0.55839,90.21487
0.56141,90.21577
0.56444,90.15591
0.56747,90.09606
0.57049,90.03621
0.57352,90.03711
0.63402,89.20461
0.63704,89.20551
0.64006,89.20641
0.64309,89.20731
0.64611,89.14747
0.64914,89.08762
0.65216,89.08852
0.65518,89.08942
0.65821,88.96882
0.66124,88.96972
0.66426,88.97062
0.66729,88.85002
0.67031,88.85092
0.67333,88.85183
0.73080,88.26146
0.73382,88.26236
0.73685,88.26326
0.73987,88.20342
0.74290,88.20432
0.74592,88.14447
0.74895,88.08463
0.75197,88.08553
0.75500,88.02568
0.75802,88.02658
0.76105,87.90599
0.76407,87.90689
0.76710,87.90779
0.77012,87.84795
0.77315,87.84885
0.83365,87.19867
0.83667,87.19957
0.83969,87.20048
0.84271,87.20138
0.84574,87.20228
0.84876,87.14244
0.85179,87.08259
0.85481,87.08350
0.85784,87.08440
0.86086,87.08530
0.86389,87.02546
0.86691,86.96561
0.86994,86.96652
0.93042,86.49861
0.93345,86.49951
0.93647,86.50041
0.93950,86.37982
0.94252,86.38073
0.94555,86.38163
0.94857,86.38253
0.95160,86.26195
0.95463,86.26285
0.95765,86.26375
0.96067,86.26466
0.96369,86.26556
0.96672,86.20572
0.96975,86.14588
0.97277,86.14678
1.03024,85.73874
1.03326,85.67890
1.03629,85.67980
1.03931,85.68071
1.04233,85.68161
1.04535,85.68251
1.04838,85.62267
1.05140,85.62358
1.05443,85.56374
1.05746,85.56464
1.06048,85.56554
1.06350,85.56645
1.06653,85.50661
1.06955,85.50751
1.13004,85.10040
1.13307,85.10130
1.13609,85.04146
1.13912,84.98162
1.14214,84.98253
1.14517,84.98343
1.14820,84.92360
1.15122,84.92450
1.15424,84.92540
1.15727,84.86557
1.16029,84.86647
1.16331,84.86738
1.16634,84.86828
1.16936,84.86918
1.22985,84.46209
1.23288,84.46299
1.23591,84.40316
1.23893,84.40406
1.24195,84.40497
1.24497,84.40587
1.24800,84.40678
1.25102,84.40768
1.25404,84.40858
1.25708,84.28801
1.26010,84.28892
1.26312,84.28982
1.26614,84.29072
1.26917,84.29163
1.32664,83.94439
1.32966,83.94529
1.33268,83.94620
1.33570,83.94710
1.33873,83.88727
1.34176,83.82744
1.34479,83.82834
1.34781,83.82925
1.35083,83.83015
1.35386,83.77032
1.35689,83.71049
1.35991,83.71139
1.36293,83.71230
1.36596,83.71320
1.42343,83.36598
1.42645,83.36689
1.42947,83.36779
1.43250,83.36870
1.43552,83.36960
1.43855,83.30977
1.44158,83.24994
1.44460,83.25085
1.44762,83.25175
1.45065,83.25266
1.45367,83.25356
1.45669,83.25447
1.45972,83.19464
1.46275,83.13481
1.46577,83.13571
1.46880,83.13662
1.52929,82.85106
1.53231,82.85196
1.53533,82.85287
1.53836,82.85377
1.54139,82.79394
1.54441,82.79485
1.54743,82.79576
1.55045,82.79666
1.55348,82.73683
1.55651,82.73774
1.55954,82.67791
1.56256,82.67882
1.56558,82.67972
1.56861,82.68063
1.62002,82.45310
1.62305,82.45400
1.62607,82.45491
1.62909,82.45581
1.63212,82.45672
1.63514,82.39689
1.63816,82.45853
1.64118,82.45944
1.64421,82.39961
1.64724,82.33979
1.65027,82.34069
1.65329,82.34160
1.65631,82.34250
1.65934,82.34341
1.66236,82.34432
1.66538,82.34522
1.66841,82.28540
1.72285,82.05878
1.72588,81.99896
1.72891,81.99986
1.73193,82.00077
1.73495,82.00168
1.73798,82.00258
1.74100,82.00349
1.74402,82.00440
1.74704,82.00530
1.75007,82.00621
1.75310,81.94638
1.75612,81.94729
1.75915,81.88747
1.76217,81.88837
1.76520,81.88928
1.82569,81.66449
1.82871,81.66540
1.83173,81.66630
1.83476,81.66721
1.83778,81.66812
1.84080,81.66902
1.84383,81.66993
1.84685,81.67084
1.84987,81.67174
1.85290,81.67265
1.85593,81.61283
1.85896,81.55301
1.86198,81.55391
1.86500,81.55482
1.86803,81.55573
1.92247,81.32914
1.92549,81.33004
1.92852,81.27022
1.93155,81.27113
1.93458,81.21131
1.93760,81.21222
1.94062,81.21312
1.94365,81.21403
1.94667,81.21494
1.94969,81.21584
1.95273,81.15602
1.95574,81.21766
1.95876,81.21857
1.96179,81.21947
1.96482,81.15965
1.96785,81.09983
2.02228,80.99471
2.02530,80.99562
2.02833,80.99652
2.03135,80.99743
2.03437,80.99834
2.03740,80.93852
2.04043,80.93943
2.04345,80.94033
2.04648,80.88051
2.04950,80.88142
2.05253,80.88233
2.05555,80.88324
2.05857,80.88414
2.06160,80.88505
2.06462,80.88596
2.12512,80.66121
2.12814,80.66211
2.13116,80.66302
2.13419,80.66393
2.13723,80.54339
2.14025,80.54429
2.14327,80.54520
2.14629,80.54611
2.14932,80.54702
2.15234,80.54792
2.15536,80.54883
2.15839,80.54974
2.16141,80.55065
2.16443,80.55155
2.16746,80.55246
2.22493,80.32681
2.22795,80.32772
2.23098,80.32863
2.23400,80.32954
2.23702,80.33044
2.24005,80.33135
2.24307,80.33226
2.24610,80.27245
2.24913,80.27335
2.25216,80.21354
2.25518,80.21445
2.25820,80.21535
2.26123,80.21626
2.26425,80.21717
2.26727,80.21808
2.32171,80.11298
2.32474,80.05316
2.32776,80.05407
2.33079,80.05498
2.33382,79.99517
2.33684,79.99607
2.33987,79.99698
2.34289,79.99789
2.34591,79.99880
2.34894,79.99970
2.35195,80.06133
2.35497,80.06224
2.35801,80.00243
2.36103,80.00334
2.36405,80.00424
2.42153,79.77862
2.42455,79.77953
2.42757,79.84115
2.43060,79.78134
2.43362,79.78225
2.43665,79.78316
2.43967,79.78407
2.44270,79.72426
2.44573,79.66445
2.44876,79.66535
2.45178,79.66626
2.45480,79.66717
2.45783,79.66808
2.46085,79.66899
2.46387,79.66989
2.46690,79.67080
2.52134,79.50500
2.52437,79.50591
2.52739,79.50681
2.53042,79.44700
2.53345,79.44791
2.53647,79.44882
2.53949,79.44973
2.54252,79.45064
2.54555,79.39083
2.54856,79.45245
2.55159,79.45336
2.55461,79.45427
2.55763,79.45518
2.56066,79.45609
2.56368,79.45700
2.62116,79.23139
2.62418,79.23230
2.62721,79.23321
2.63023,79.23412
2.63325,79.23502
2.63629,79.17522
2.63931,79.17613
2.64233,79.17704
2.64536,79.17794
2.64838,79.17885
2.65140,79.17976
2.65442,79.24138
2.65745,79.18158
2.66048,79.12177
2.66351,79.12268
2.71796,78.95689
2.72098,78.95780
2.72400,78.95871
2.72703,78.95962
2.73005,78.96053
2.73307,78.96144
2.73610,78.96234
2.73912,78.96325
2.74214,78.96416
2.74518,78.90436
2.74820,78.90527
2.75122,78.90617
2.75425,78.90708
2.75727,78.90799
2.76029,78.90890
2.81777,78.74403
2.82079,78.74494
2.82382,78.74585
2.82684,78.74676
2.82987,78.68695
2.83290,78.68786
2.83593,78.62806
2.83895,78.62897
2.84198,78.62988
2.84500,78.63078
2.84802,78.63169
2.85105,78.63260
