# source: TM-100991 pdf p.46, Figure 10, panel PCNG
# quantity: PCNG vs time, GE reference standard model data (+ markers) -- the hardware reference Ballin was himself validating against
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (shared axis, 0 to 5.0)
# value: PCNG, axis range 60.0 to 100.0, no unit printed on the figure
# points: 45
# x tick check: worst interior major tick off by 0.0270 s
# sample lattice: pitch 33.00 px = 0.0989 s
# NOT transcribed. Values carry read error.
t_s,value
0.12133,90.00000
0.21869,91.27273
0.32205,91.21212
0.42391,89.87879
0.52127,91.09091
0.62163,89.87879
0.72049,86.72727
0.82058,87.85675
0.91522,84.90909
1.01408,84.24242
1.11444,83.39394
1.21180,82.78788
1.31067,82.18182
1.41102,81.69697
1.50539,81.21212
1.60575,80.90909
1.70611,80.48485
1.80497,80.18182
1.90234,81.39394
2.00120,79.45455
2.10156,80.66667
2.19742,78.66667
2.29778,78.30303
2.39814,79.81818
2.49251,77.75758
2.59137,77.51515
2.69023,77.09091
2.79059,78.54545
2.88796,78.18182
2.98682,76.48485
3.08868,77.57576
3.18754,77.39394
3.28790,75.57576
3.39125,76.84848
3.49011,74.96970
3.59047,76.36364
3.68933,74.30303
3.78820,74.00000
3.88556,73.81818
3.98442,73.45455
4.08328,73.15152
4.18214,73.03030
4.28101,72.72727
4.37987,72.42424
4.47873,72.18182
