# source: TM-100991 pdf p.46, Figure 10, panel PS3
# quantity: PS3 vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 493.31 (slope -12.14 m px/row), right 2148.00 (slope -7.60), width 1654.69 px against the page-wide 1669. The page is skewed; see `Panel.left_slope`.
# value: PS3, axis range 0.0 to 200.0, no unit printed on the figure
# points: 637
# x tick check: worst interior major tick off by 0.0039 s
# frame tilt corrected: top +11.71 px, bottom +11.67 px across the panel (+3.53 % of panel height). The page is skewed; see `frame_tilt`.
# NOT transcribed. Values carry read error.
t_s,value
0.03194,155.96050
0.03496,155.96474
0.03800,155.66691
0.04104,155.36908
0.04405,155.67538
0.04707,155.67961
0.05011,155.38179
0.05313,155.38602
0.05613,155.69232
0.05915,155.69656
0.06217,155.70079
0.06517,156.00709
0.06818,156.31339
0.07120,156.31763
0.12864,155.79398
0.13168,155.49615
0.13470,155.50039
0.13774,155.20256
0.14074,155.50886
0.14378,155.21103
0.14682,154.91320
0.14980,155.52156
0.15282,155.52580
0.15584,155.53004
0.15887,155.53427
0.16189,155.53851
0.16489,155.84481
0.16791,155.84904
0.17093,155.85328
0.22833,155.93376
0.23135,155.93799
0.23438,155.94223
0.23741,155.64440
0.24044,155.64864
0.24346,155.65287
0.24648,155.65711
0.24950,155.66134
0.25252,155.66558
0.25554,155.66981
0.25856,155.67405
0.26158,155.67829
0.26460,155.68252
0.26763,155.68676
0.27063,155.99306
0.27365,155.99729
0.33107,155.77571
0.33411,155.47788
0.33713,155.48211
0.34017,155.18428
0.34317,155.49058
0.34621,155.19275
0.34923,155.19699
0.35225,155.20123
0.35527,155.20546
0.35829,155.20970
0.36130,155.51600
0.36432,155.52023
0.36734,155.52447
0.37034,155.83077
0.37336,155.83501
0.37639,155.83924
0.43380,155.61766
0.43682,155.62189
0.43985,155.62613
0.44287,155.63036
0.44589,155.63460
0.44891,155.63884
0.45193,155.64307
0.45495,155.64731
0.45797,155.65154
0.46099,155.65578
0.46401,155.66001
0.46704,155.66425
0.47006,155.66849
0.47306,155.97479
0.47608,155.97903
0.54032,142.47492
0.54337,141.87502
0.54639,141.87926
0.54945,141.27935
0.55247,141.28359
0.55553,140.68369
0.55858,140.08379
0.56160,140.08802
0.56466,139.48812
0.56768,139.49235
0.57072,139.19452
0.57376,138.89669
0.63444,134.45035
0.63746,134.45458
0.64051,133.85468
0.64353,133.85891
0.64655,133.86315
0.64961,133.26324
0.65263,133.26748
0.65567,132.96964
0.65871,132.67181
0.66173,132.67604
0.66475,132.68028
0.66780,132.08037
0.67083,132.08461
0.67385,132.08884
0.73443,129.15283
0.73746,129.15706
0.74049,128.85923
0.74351,128.86346
0.74655,128.56562
0.74961,127.96572
0.75263,127.96995
0.75565,127.97419
0.75867,127.97842
0.76171,127.68058
0.76475,127.38275
0.76777,127.38698
0.83143,123.54898
0.83445,123.55321
0.83747,123.55744
0.84049,123.56168
0.84352,123.26384
0.84655,123.26807
0.84960,122.66817
0.85262,122.67240
0.85566,122.37456
0.85870,122.07673
0.86172,122.08096
0.86474,122.08519
0.86778,121.78736
0.87080,121.79159
0.93442,118.55771
0.93744,118.56194
0.94048,118.26410
0.94350,118.26834
0.94652,118.27257
0.94955,117.97473
0.95259,117.67689
0.95561,117.68113
0.95867,117.08122
0.96169,117.08545
0.96471,117.08968
0.96775,116.79184
0.97077,116.79608
1.03136,113.55795
1.03440,113.26011
1.03742,113.26434
1.04044,113.26857
1.04346,113.27281
1.04648,113.27704
1.04952,112.97920
1.05256,112.68136
1.05558,112.68559
1.05862,112.38775
1.06164,112.39199
1.06467,112.09415
1.06771,111.79631
1.07073,111.80054
1.13128,109.46861
1.13430,109.47284
1.13733,109.17500
1.14035,109.17923
1.14339,108.88139
1.14643,108.58355
1.14945,108.58779
1.15249,108.28995
1.15552,107.99211
1.15854,107.99634
1.16158,107.69850
1.16460,107.70273
1.16762,107.70696
1.17064,107.71119
1.23122,104.77511
1.23424,104.77934
1.23726,104.78357
1.24028,104.78780
1.24331,104.48996
1.24634,104.49419
1.24937,104.19635
1.25239,104.20058
1.25540,104.50689
1.25842,104.51112
1.26145,104.21328
1.26449,103.91544
1.26753,103.61760
1.27055,103.62183
1.27359,103.32399
1.33109,101.28988
1.33412,100.99203
1.33714,100.99627
1.34018,100.69842
1.34320,100.70266
1.34624,100.40481
1.34926,100.40904
1.35228,100.41328
1.35530,100.41751
1.35835,99.81759
1.36137,99.82182
1.36439,99.82606
1.36741,99.83029
1.43096,97.80463
1.43398,97.80886
1.43700,97.81309
1.44003,97.51525
1.44305,97.51948
1.44607,97.52371
1.44909,97.52794
1.45211,97.53217
1.45513,97.53641
1.45817,97.23856
1.46121,96.94072
1.46423,96.94495
1.46725,96.94918
1.53077,95.22559
1.53379,95.22982
1.53681,95.23405
1.53983,95.23828
1.54285,95.24251
1.54589,94.94467
1.54892,94.64683
1.55195,94.65106
