# source: TM-100991 pdf p.46, Figure 10, panel T41
# quantity: T41 vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (shared axis, 0 to 5.0)
# value: T41, axis range 1500.0 to 2500.0, no unit printed on the figure
# points: 732
# x tick check: worst interior major tick off by 0.0449 s
# defect: the final sample at t=4.92510 s sits 0.467 s after its predecessor, against a median sample interval of 0.00300 s -- 156x. It is a re-acquisition artifact, not data.
#   Kept rather than deleted, per the provenance rule: consumers must window it out. validation/ stops at t < 4.6 for this reason. See open question #48.
# NOT transcribed. Values carry read error.
t_s,value
0.05992,2196.96970
0.06291,2196.96970
0.06591,2196.96970
0.06890,2196.96970
0.07190,2196.96970
0.07490,2196.96970
0.07789,2196.96970
0.14080,2196.96970
0.14380,2195.45455
0.14679,2196.96970
0.14979,2196.96970
0.15279,2195.45455
0.15578,2195.45455
0.15878,2195.45455
0.16177,2193.93939
0.16477,2193.93939
0.16777,2193.93939
0.17076,2193.93939
0.17376,2193.93939
0.17675,2193.93939
0.17975,2195.45455
0.24266,2193.93939
0.24566,2195.45455
0.24865,2195.45455
0.25165,2195.45455
0.25464,2195.45455
0.25764,2193.93939
0.26064,2193.93939
0.26363,2193.93939
0.26663,2192.42424
0.26962,2190.90909
0.27262,2192.42424
0.27561,2193.93939
0.27861,2190.90909
0.28161,2192.42424
0.28460,2192.42424
0.34152,2190.90909
0.34452,2190.90909
0.34751,2193.93939
0.35051,2190.90909
0.35351,2190.90909
0.35650,2192.42424
0.35950,2190.90909
0.36249,2190.90909
0.36549,2190.90909
0.36848,2189.39394
0.37747,2190.90909
0.38047,2189.39394
0.44038,2190.90909
0.44338,2190.90909
0.44638,2190.90909
0.44937,2190.90909
0.45237,2190.90909
0.45536,2190.90909
0.45836,2190.90909
0.46135,2190.90909
0.46435,2190.90909
0.46735,2190.90909
0.47034,2190.90909
0.47334,2190.90909
0.47633,2190.90909
0.47933,2190.90909
0.48232,2190.90909
0.54823,1816.66667
0.55123,1815.15152
0.55422,1813.63636
0.55722,1813.63636
0.56022,1813.63636
0.56321,1813.63636
0.56621,1813.63636
0.56920,1813.63636
0.57220,1813.63636
0.57519,1813.63636
0.57819,1815.15152
0.58119,1816.66667
0.61414,1843.93939
0.63511,1807.57576
0.63811,1807.57576
0.64110,1807.57576
