# source: TM-100991 pdf p.46, Figure 10, panel T45
# quantity: T45 vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (shared axis, 0 to 5.0)
# value: T45, axis range 1000.0 to 2000.0, no unit printed on the figure
# points: 713
# x tick check: worst interior major tick off by 0.0554 s
# NOT transcribed. Values carry read error.
t_s,value
0.05992,1577.27273
0.06291,1577.27273
0.06591,1577.27273
0.10186,1569.69697
0.12582,1574.24242
0.14979,1575.75758
0.15279,1575.75758
0.16477,1575.75758
0.16777,1575.75758
0.19473,1603.03030
0.22169,1604.54545
0.22768,1572.72727
0.24266,1572.72727
0.24566,1572.72727
0.25165,1574.24242
0.25464,1572.72727
0.25764,1572.72727
0.26064,1572.72727
0.26363,1572.72727
0.26663,1572.72727
0.32954,1572.72727
0.33253,1572.72727
0.33553,1572.72727
0.33853,1569.69697
0.34152,1571.21212
0.34452,1571.21212
0.34751,1571.21212
0.35051,1571.21212
0.35351,1571.21212
0.35650,1571.21212
0.35950,1571.21212
0.36249,1571.21212
0.36549,1569.69697
0.42540,1572.72727
0.42840,1571.21212
0.43140,1572.72727
0.43439,1572.72727
0.43739,1571.21212
0.44038,1571.21212
0.44338,1571.21212
0.44638,1571.21212
0.44937,1572.72727
0.45237,1572.72727
0.45536,1571.21212
0.45836,1571.21212
0.46135,1571.21212
0.46435,1571.21212
0.46735,1571.21212
0.53925,1296.96970
0.54224,1292.42424
0.54524,1290.90909
0.54823,1289.39394
0.55123,1289.39394
0.55422,1289.39394
0.55722,1287.87879
0.56022,1287.87879
0.56321,1287.87879
0.56621,1287.87879
0.62612,1287.87879
0.62912,1286.36364
0.63212,1286.36364
0.63511,1286.36364
0.63811,1286.36364
0.64110,1286.36364
0.64410,1284.84848
0.64709,1283.33333
0.65009,1283.33333
0.65309,1283.33333
0.65608,1283.33333
0.65908,1283.33333
0.66207,1283.33333
0.66507,1283.33333
0.72499,1281.81818
0.72798,1281.81818
0.73098,1281.81818
0.73397,1281.81818
0.73697,1281.81818
0.73996,1281.81818
0.74296,1281.81818
0.74596,1281.81818
0.74895,1281.81818
0.75195,1278.78788
0.75494,1278.78788
0.75794,1278.78788
0.76093,1280.30303
0.82085,1277.27273
0.82385,1277.27273
0.82684,1277.27273
0.82984,1277.27273
0.83283,1277.27273
0.83583,1277.27273
0.83883,1277.27273
0.84182,1277.27273
0.84482,1277.27273
0.84781,1277.27273
0.85081,1277.27273
0.85380,1278.78788
0.85680,1277.27273
0.85980,1277.27273
0.91971,1275.75758
0.92271,1275.75758
0.92570,1274.24242
0.92870,1274.24242
0.93170,1277.27273
0.93469,1277.27273
0.93769,1274.24242
0.94068,1274.24242
0.94368,1272.72727
0.94667,1272.72727
0.94967,1272.72727
0.95267,1272.72727
0.95566,1272.72727
0.95866,1272.72727
0.98862,1272.72727
0.99161,1272.72727
0.99461,1272.72727
1.01558,1272.72727
1.01857,1272.72727
1.02157,1272.72727
1.02457,1272.72727
1.02756,1272.72727
1.03056,1272.72727
1.03355,1274.24242
1.03655,1274.24242
1.03954,1274.24242
1.04254,1274.24242
1.04554,1274.24242
1.04853,1274.24242
