# source: TM-100991 pdf p.46, Figure 10, panel T45
# quantity: T45 vs time, GE reference standard model data (+ markers) -- the hardware reference Ballin was himself validating against
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (shared axis, 0 to 5.0)
# value: T45, axis range 1000.0 to 2000.0, no unit printed on the figure
# points: 45
# x tick check: worst interior major tick off by 0.0554 s
# frame tilt corrected: top +12.97 px, bottom +13.15 px across the panel (+3.95 % of panel height). The page is skewed; see `frame_tilt`.
# sample lattice: pitch 33.03 px = 0.0990 s
# NOT transcribed. Values carry read error.
t_s,value
0.10176,1586.83126
0.19997,1584.14392
0.29963,1585.95328
0.40084,1585.72844
0.49882,1585.38039
0.59819,1289.24928
0.69603,1289.78481
0.79513,1296.38535
0.89275,1302.42699
0.99161,1312.27858
1.09042,1312.06976
1.18860,1313.28291
1.28805,1310.24229
1.38696,1313.32717
1.48193,1315.82436
1.58086,1314.19971
1.68093,1319.16136
1.78048,1318.71855
1.87665,1314.72609
1.97652,1313.24157
2.07599,1312.76833
2.17080,1312.59852
2.27232,1311.83783
2.37170,1313.90326
2.46660,1316.44853
2.56451,1314.10037
2.66347,1315.16462
2.76310,1316.10684
2.86094,1313.96142
2.96051,1310.91205
3.06219,1309.92986
3.16135,1315.23690
3.26363,1311.22210
3.36451,1311.05896
3.46335,1312.42901
3.56398,1307.78440
3.66499,1310.44184
3.76286,1314.19123
3.85955,1311.09606
3.95751,1309.04200
4.05743,1310.27526
4.15508,1310.06529
4.25404,1310.90158
4.35359,1308.62442
4.45177,1309.44461
