# source: TM-100991 pdf p.46, Figure 10, panel TORQ45
# quantity: TORQ45 vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (0 to 5.0). The vertical frames are fitted over THIS panel's rows: left column 480.06 (slope -15.02 m px/row), right 2130.86 (slope -6.47), width 1650.80 px against the page-wide 1669. The page is skewed; see `Panel.left_slope`.
# value: TORQ45, axis range 0.0 to 400.0, no unit printed on the figure
# points: 364
# x tick check: worst interior major tick off by 0.1079 s
# frame tilt corrected: top +13.70 px, bottom +14.37 px across the panel (+4.25 % of panel height). The page is skewed; see `frame_tilt`.
# NOT transcribed. Values carry read error.
t_s,value
0.14443,175.19091
0.14743,175.80644
0.15048,175.21133
0.15350,175.22155
0.15653,175.23176
0.16258,175.25218
0.16559,175.86770
0.16863,175.27260
0.22920,174.26621
0.23222,174.27642
0.23525,174.28663
0.23827,174.29684
0.24130,174.30705
0.24433,174.31727
0.24737,173.72218
0.25038,174.33769
0.25340,174.34790
0.25641,174.96340
0.25946,174.36832
0.26248,174.37853
0.26551,174.38874
0.26853,174.39896
0.27156,174.40917
0.33208,174.61339
0.33510,174.62360
0.33813,174.63381
0.34115,174.64402
0.34420,174.04896
0.34723,174.05917
0.35025,174.06938
0.35328,174.07959
0.35631,174.08980
0.35931,174.70528
0.36236,174.11023
0.36538,174.12044
0.36839,174.73592
0.37141,174.74613
0.37446,174.15107
0.43500,173.75004
0.43803,173.76025
0.44105,173.77046
0.44406,174.38592
0.44708,174.39613
0.45011,174.40634
0.45313,174.41655
0.45616,174.42676
0.45919,174.43697
0.46223,173.84194
0.46526,173.85215
0.46829,173.86236
0.47131,173.87257
0.47432,174.48803
0.54251,128.71555
0.54560,126.91014
0.54864,126.31518
0.55171,125.11500
0.55476,124.52005
0.55782,123.31988
0.56087,122.72493
0.56390,122.73520
0.56694,122.14026
0.56999,121.54531
0.57304,120.95037
0.63390,110.86739
0.63694,110.27248
0.63997,110.28276
0.64301,109.68785
0.64604,109.69814
0.64906,109.70843
0.65213,108.50832
0.65516,108.51860
0.65820,107.92370
0.66123,107.93399
0.66430,106.73388
0.66732,106.74417
0.67037,106.14927
0.67339,106.15956
0.73412,99.70842
0.73715,99.71872
0.74019,99.12384
0.74324,98.52897
0.74626,98.53927
0.74929,98.54957
0.75231,98.55987
0.75534,98.57017
0.75836,98.58047
0.76141,97.98560
0.76445,97.39073
0.76748,97.40103
0.77056,95.59582
0.83127,89.75033
0.83429,89.76065
0.83734,89.16580
0.84036,89.17611
0.84341,88.58127
0.84643,88.59158
0.84948,87.99674
0.85254,86.79676
0.85557,86.80707
0.85859,86.81738
0.86162,86.82770
0.86466,86.23286
0.86771,85.63803
0.87073,85.64835
0.93145,79.19820
0.93450,78.60340
0.93752,78.61372
0.94055,78.62404
0.94359,78.02924
0.94661,78.03956
0.94964,78.04989
0.95270,76.84996
0.95573,76.86028
0.95877,76.26548
0.96182,75.67069
0.96484,75.68101
0.96787,75.69134
1.03158,69.85713
1.03465,68.65725
1.03767,68.66758
1.04072,68.07281
1.04374,68.08315
1.04679,67.48838
1.04981,67.49872
1.05284,67.50905
1.05586,67.51939
1.05891,66.92463
1.06195,66.32986
1.06497,66.34020
1.06802,65.74544
1.12867,61.11153
1.13169,61.12188
1.13474,60.52714
1.13778,59.93240
1.14080,59.94274
1.14385,59.34801
1.14689,58.75327
1.14992,58.76362
1.15294,58.77397
1.15597,58.78431
1.15899,58.79466
1.16203,58.19993
1.16506,58.21028
1.16810,57.61555
1.22873,53.58708
1.23175,53.59744
1.23481,52.39767
1.23784,52.40802
1.24086,52.41838
1.24391,51.82368
1.24693,51.83403
1.24995,51.84439
1.25298,51.85474
1.25602,51.26004
1.25905,51.27040
1.26207,51.28075
1.26511,50.68605
1.26814,50.69641
1.27120,49.49667
1.32575,46.05287
1.32878,46.06323
1.33180,46.07359
1.33483,46.08396
1.33785,46.09432
1.34091,44.89461
1.34394,44.90497
1.34696,44.91534
1.34999,44.92570
1.35301,44.93606
1.35603,44.94642
1.35906,44.95679
1.36210,44.36212
1.36513,44.37248
1.36815,44.38285
1.42572,40.94966
1.42877,40.35502
1.43179,40.36538
1.43482,40.37575
1.43784,40.38612
1.44086,40.39649
1.44391,39.80185
1.44693,39.81222
1.44995,39.82258
1.45298,39.83295
1.45600,39.84332
1.45905,39.24868
1.46209,38.65405
1.46511,38.66442
