# source: TM-100991 pdf p.46, Figure 10, panel TORQ45
# quantity: TORQ45 vs time, GE reference standard model data (+ markers) -- the hardware reference Ballin was himself validating against
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (shared axis, 0 to 5.0)
# value: TORQ45, axis range 0.0 to 400.0, no unit printed on the figure
# points: 13
# x tick check: worst interior major tick off by 0.1555 s
# frame tilt corrected: top +13.70 px, bottom +14.37 px across the panel (+4.25 % of panel height). The page is skewed; see `frame_tilt`.
# sample lattice: pitch 32.93 px = 0.0987 s
# NOT transcribed. Values carry read error.
t_s,value
0.08573,186.45219
0.18468,186.97071
0.28688,186.23730
0.38885,186.35011
0.48709,185.00179
0.58357,111.96361
0.68157,95.05103
0.78070,73.68561
0.87619,53.21719
0.97509,41.42842
1.07354,34.43471
1.17136,29.89629
1.27022,29.63382
