# source: TM-100991 pdf p.46, Figure 10, panel WFPH
# quantity: WFPH vs time, Ballin real-time model (solid line) -- the replication target
# method: digitized -- native 300 dpi 1-bit scan, tools/digitize_fig910.py
# t_s: time, seconds (shared axis, 0 to 5.0)
# value: WFPH, axis range 0.0 to 500.0, no unit printed on the figure
# points: 735
# x tick check: worst interior major tick off by 0.0345 s
# frame tilt corrected: top +11.12 px, bottom +12.11 px across the panel (+3.51 % of panel height). The page is skewed; see `frame_tilt`.
# NOT transcribed. Values carry read error.
t_s,value
0.06890,400.05219
0.07190,400.06244
0.07490,400.07269
0.07789,400.08294
0.08089,400.09319
0.08388,400.85927
0.08688,400.86952
0.08987,400.87976
0.09287,400.89001
0.09587,400.90026
0.09886,400.91051
0.10186,400.92076
0.10485,400.93101
0.10785,400.94126
0.11084,400.95150
0.11384,400.96175
0.11684,400.97200
0.11983,400.98225
0.12283,400.99250
0.12582,401.00275
0.12882,401.01299
0.13182,401.02324
0.13481,401.03349
0.13781,401.04374
0.14080,401.05399
0.14380,401.06423
0.14679,400.31868
0.14979,400.32893
0.15279,401.09498
0.15578,400.34943
0.15878,400.35968
0.16177,400.36993
0.16477,400.38018
0.16777,400.39043
0.17076,401.15646
0.17376,401.16671
0.17675,400.42117
0.17975,401.18721
0.18274,401.19746
0.18574,401.20770
0.18874,401.21795
0.19173,401.22820
0.19473,401.23845
0.19772,400.49292
0.20072,400.50316
0.20371,400.51341
0.20671,400.52366
0.20971,400.53391
0.21270,400.54416
0.21570,400.55441
0.21869,400.56466
0.22169,400.57490
0.22469,400.58515
0.22768,400.59540
0.23068,400.60565
0.23367,400.61590
0.23667,401.38191
0.23966,401.39215
0.24266,401.40240
0.24566,400.65689
0.24865,400.66714
0.25165,400.67739
0.25464,400.68763
0.25764,400.69788
0.26064,400.70813
0.26363,400.71838
0.26663,400.72863
0.26962,399.98313
0.27262,399.99338
0.27561,400.75937
0.27861,400.76962
0.28161,400.77986
0.28460,400.79011
0.28760,400.80036
0.29059,400.81061
0.29359,400.82086
0.29658,400.83110
0.29958,400.08562
0.30258,400.09587
