# source: TM-100991 pdf p.101, Figure C30
# quantity: F_HM7 -- HMU maximum fuel-parameter limit during acceleration (Fig. C21, pdf p.93: WFPAC = F_HM7(T2, PCNGHL))
# method: digitized -- the seven curves are PIECEWISE LINEAR between their printed
#   markers, so this extracts their vertices rather than tracing their lines. Each
#   value below is the centre of an ink run measured in the named column; the
#   identity of the curve that run belongs to comes from rank in y where the fan is
#   open and ordered by T2 (PCNGHL 55-82), and from the printed digit markers where
#   it is not (the bundle at 85-95 and the drops beyond it). Rank is NOT identity
#   through the bundle: the curves emerge from it ordered 4, 3, 5, 6, 7 with 1 and 2
#   already descending, which is why tools/digitize_multi_curve.py refuses this page.
# CHECK. Every segment between consecutive knots is sampled and required to lie on
#   ink: mean coverage 0.9850; the worst seed named a run 0.087 WFPAC away.
# t2_degR: T2 curve parameter, deg R
# pcnghl_pct: PCNGHL sensed gas turbine speed, percent
# wfpac: WFPAC fuel flow acceleration limit parameter, nondimensional
# points: 192
# digitized: 2026-09-13 by tools/digitize_c30.py -- reruns and reproduces this file
#   exactly
# RASTER. pdf p.101 is a single 300 dpi 1-bit CCITT image (2544x3300); this works
#   on that bitmap directly and never resamples it.
# CALIBRATION. Frame, tick lattice and axis polynomials come from
#   tools/digitize_single_curve.py unchanged, so this figure is calibrated exactly as the
#   other fourteen are.
#   x: order 1, interior-tick residual 0.1033 over 10 ticks
#   y: order 1, interior-tick residual 0.005328 over 8 ticks
# NOT transcribed. Values carry read error.
t2_degR,pcnghl_pct,wfpac
395.0,54.8914,3.5770
395.0,56.8027,3.4609
395.0,59.6620,3.2854
395.0,60.9183,3.2248
395.0,61.9332,3.1815
395.0,62.9479,3.1394
395.0,64.0349,3.0950
395.0,68.0310,3.0010
395.0,72.0996,2.9805
395.0,76.1083,3.0923
395.0,80.5620,3.2727
395.0,82.3092,3.3381
395.0,83.4245,3.3813
395.0,84.9378,3.4047
395.0,86.4171,3.4034
395.0,86.9268,3.3508
395.0,87.9610,3.0712
395.0,88.4753,2.9635
395.0,88.9542,2.8468
395.0,89.9861,2.5899
395.0,90.5031,2.4496
395.0,91.5339,2.2029
395.0,92.0499,2.0716
395.0,93.0554,1.6945
395.0,93.5774,1.4903
395.0,94.1011,1.2658
395.0,94.6252,1.0358
395.0,103.9283,0.9776
430.0,54.8788,3.7087
430.0,57.9082,3.5863
430.0,59.6137,3.5185
430.0,60.8955,3.4680
430.0,61.9106,3.4224
430.0,62.9254,3.3803
430.0,64.0111,3.3516
430.0,68.1359,3.2005
430.0,72.1011,3.1420
430.0,76.0906,3.1422
430.0,80.0405,3.2949
430.0,81.9106,3.3646
430.0,83.9086,3.4394
430.0,83.9029,3.4375
430.0,88.8929,3.5601
430.0,89.9033,3.5574
430.0,90.3383,3.5329
430.0,90.9235,3.4387
430.0,92.9496,2.9415
430.0,95.0121,2.4333
430.0,96.0424,2.1865
430.0,98.0627,1.7392
430.0,99.0906,1.5162
430.0,100.1197,1.2763
430.0,101.1159,0.9961
430.0,102.1249,0.9967
